COVLEX_ID	COVLEX_DESC	IDIOMA	DATA_INI	DATA_FIN	DESC_CA	DESC_ES	DESC_EN	F_PRINCIPAL	F_COMPLEMENT	DEFINICIÓ	NOTES
85	coronavirus associat a la MERS ||| coronavirus de la MERS ||| MERS-CoV	ca	01012021		coronavirus associat a la MERS ||| coronavirus de la MERS ||| MERS-CoV			coronavirus associat a la MERS	coronavirus de la MERS ||| MERS-CoV	Coronavirus del subgènere Merbecovirus, amb un genoma constituït per una còpia d'RNA monocatenari de sentit positiu i amb un embolcall cobert d'espícules, causant de la MERS.	NOTA: 1. El MERS-CoV es transmet principalment dels animals cap a les persones, tot i que també puntualment hi pot haver transmissió entre persones per contacte directe proper. Hi ha evidència científica que suggereix que les persones s'infecten per via zoonòtica, per contacte directe o indirecte amb els camells. NOTA: 2. La sigla MERS correspon a l'anglès Middle East respiratory syndrome ('síndrome respiratòria de l'Orient Mitjà'
86	coronavirus associat a la SARS ||| coronavirus de la SARS ||| SARS-CoV	ca	01012021		coronavirus associat a la SARS ||| coronavirus de la SARS ||| SARS-CoV			coronavirus associat a la SARS	coronavirus de la SARS ||| SARS-CoV	Virus de l'espècie coronavirus relacionat amb la síndrome respiratòria aguda greu, del gènere Betacoronavirus, de la família dels coronavirus, causant de la síndrome respiratòria aguda greu.	NOTA: La sigla SARS correspon a l'anglès severe acute respiratory syndrome ('síndrome respiratòria aguda greu').
87	covid-19· ||| COVID-19 ||| COVID-19·· ||| covid-19··· ||| malaltia del coronavirus 2019	ca	01012021		covid-19· ||| COVID-19 ||| COVID-19·· ||| covid-19··· ||| malaltia del coronavirus 2019			covid-19·	COVID-19 ||| COVID-19·· ||| covid-19··· ||| malaltia del coronavirus 2019	Malaltia respiratòria causada pel coronavirus SARS-CoV-2, que en casos lleus produeix símptomes similars als de la grip, com ara febre, tos, dispnea, miàlgia i astènia, i en casos greus pot derivar en una pneumònia associada a un procés inflamatori general que requereix atenció intensiva.	NOTA: 1. La COVID-19 es transmet principalment per contacte amb les gotetes respiratòries que genera una persona portadora del virus quan parla, tus o esternuda. Els casos greus de COVID-19 es donen sobretot en persones immunodeprimides o bé en pacients que tenen patologies prèvies de base o unes característiques idiopàtiques que les fan especialment susceptibles al coronavirus SARS-CoV-2. NOTA: 2. La forma COVID-19 és una sigla procedent de la denominació anglesa coronavirus disease 2019 ('malaltia del coronavirus 2019'). La sigla s'utilitza sobretot en l'àmbit especialitzat, mentre que en l'àmbit divulgatiu i de la llengua general la tendència és a escriure covid-19, com a forma ja lexicalitzada. NOTA: 3. En català el gènere recomanat per a COVID-19 (o covid-19) és el femení, d'acord amb l'origen etimològic del mot (sigla anglesa que té com a nucli disease, corresponent en català al mot femení malaltia). Tot i això, també és vàlid el gènere masculí, ja que s'ajusta a l'estructura morfoprosòdica del substantiu (mot agut acabat en [it]).  En la resta de llengües romàniques el gènere atribuït a COVID-19 (i a les seves variants gràfiques, Covid-19 i covid-19) varia segons la font. En castellà, francès i italià els organismes oficials, però, recomanen l'ús preferent del femení.
88	COVID-19 persistent	ca	01012021		COVID-19 persistent			COVID-19 persistent		Situació clínica que es dona en alguns pacients que han patit una infecció lleu o moderada per SARS-CoV-2 en què, després de la fase aguda, no es torna a l'estat de salut basal.	NOTA: La fatiga, la tos, la cefalea, la sensació de falta d'aire, l'anòsmia, l'agèusia o la hipogèusia s'han descrit entre els símptomes persistents més freqüents.
89	cribratge	ca	01012021		cribratge			cribratge		Recerca sistemàtica que s'aplica a una població determinada per a identificar les persones que podrien estar afectades per un problema de salut o una malaltia, generalment abans que es manifesti.	NOTA: 1. El cribratge consisteix en l'aplicació de procediments de selecció (qüestionaris, exploracions físiques, proves complementàries) a poblacions d'individus aparentment sans, per a detectar malalties subclíniques o identificar les persones que presenten factors de risc per a una malaltia determinada. NOTA: 2. El propòsit del cribratge és reconèixer les persones que es poden beneficiar d'un tractament precoç que millori el pronòstic de la seva malaltia o del seu problema de salut.
90	cultiu	ca	01012021		cultiu			cultiu		Tècnica de laboratori consistent en la multiplicació de microorganismes en un medi de cultiu apropiat amb finalitats mèdiques, científiques o industrials.	NOTA: Es poden fer cultius de bacteris, virus, fongs o paràsits. El medi de cultiu és constituït per glúcids simples com la glucosa, proteïnes fàcilment assimilables i sals minerals inorgàniques que aportin fonamentalment sofre, fòsfor, magnesi, clor, sodi, potassi i calci.
91	danoprevir	ca	01012021		danoprevir			danoprevir		Fàrmac antivíric que inhibeix la proteasa NS3/4A del virus de l'hepatitis C.	NOTA: El danoprevir és un pèptid cíclic que s'empra en el marc d'assaigs clínics en el tractament de la infecció crònica pel VHC. Se n'ha suggerit l'ús, juntament amb el ritonavir, per al tractament de la COVID-19. És d'origen sintètic.  La denominació danoprevir és la forma catalana corresponent a la DCI.
92	darunavir	ca	01012021		darunavir			darunavir		Fàrmac antiretroviral inhibidor de la proteasa 1 del VIH.	NOTA: El darunavir s'empra en el tractament de la infecció pel VIH-1. S'administra en combinació amb dosis baixes de ritonavir o cobicistat i altres fàrmacs antiretrovirals. Se n'ha suggerit l'ús per al tractament de la COVID-19. És d'origen sintètic.  La denominació darunavir és la forma catalana corresponent a la DCI.
93	delegat | delegada de prevenció	ca	01012021		delegat | delegada de prevenció			delegat | delegada de prevenció		Representant dels treballadors amb funcions específiques en matèria de prevenció de riscos a la feina.	
94	desconfinament	ca	01012021		desconfinament			desconfinament		Procés de recuperació gradual de la normalitat en l'activitat d'una població després d'un procés de confinament.	
95	desescalada ||| desescalament	ca	01012021		desescalada ||| desescalament			desescalada	desescalament	Reducció gradual de les mesures excepcionals adoptades per frenar la pandèmia de COVID-19 que permet una tornada esglaonada a la normalitat	
96	plitidepsina ||| deshidrodidemnina B	ca	01012021		plitidepsina ||| deshidrodidemnina B			plitidepsina	deshidrodidemnina B	Fàrmac antineoplàstic que atura el creixement cel·lular i indueix l'apoptosi mitjançant la inhibició de la secreció del factor de creixement de l'endoteli vascular.	NOTA: La plitidepsina és una didemnina que s'utilitza com a tractament experimental contra diversos tipus de càncer, com el mieloma múltiple. Se n'ha suggerit l'ús per al tractament de la COVID-19. És un pèptid d'origen natural que s'extreu del tunicat marí Aplidium albincans.  La denominació plitidepsina és la forma catalana corresponent a la DCI.
97	detecció precoç	ca	01012021		detecció precoç			detecció precoç		Detecció d'un problema de salut durant el període asimptomàtic que permet aplicar mesures per a intentar modificar-ne la història natural i evitar-ne la progressió.	
98	dexametasona	ca	01012021		dexametasona			dexametasona		Fàrmac antiinflamatori i immunosupressor que inhibeix l'apoptosi dels neutròfils i els factors de transcripció inflamatoris.	NOTA: La dexametasona és un glucocorticoide que s'empra en el tractament de la insuficiència cardíaca i de malalties amb un component inflamatori i al·lèrgic, així com per inhibir el rebuig en el trasplantament d'òrgans. És d'origen sintètic.  La denominació dexametasona és la forma catalana corresponent a la DCI.
99	diagnòstic ||| diagnosi	ca	01012021		diagnòstic ||| diagnosi			diagnòstic	diagnosi	Determinació de la naturalesa de la malaltia o el problema de salut d'un pacient per mitjà de l'estudi dels seus símptomes i signes i de la realització d'exploracions complementàries.	
100	diarrea	ca	01012021		diarrea			diarrea		Evacuació de femta de menor consistència i major fluïdesa i, sovint, amb un augment del nombre i el volum de les deposicions.	NOTA: La causa de la diarrea és l'acceleració del trànsit intestinal, a la qual moltes vegades se suma una hipersecreció mucosa.
101	dímer-D	ca	01012021		dímer-D			dímer-D		Producte de degradació de la fibrina que es produeix quan un coàgul de sang és dissolt en l'organisme.	NOTA: 1. El dímer-D, el fibrinogen i el temps de protrombina són tres paràmetres de coagulació que poden orientar sobre el pronòstic de la pneumònia per COVID-19. NOTA: 2. Uns valors sanguinis de dímer-D elevats s'han relacionat amb un pitjor pronòstic en pacients amb COVID-19. NOTA: 3. La determinació del dímer-D s'utilitza en el diagnòstic de la trombosi venosa profunda, el tromboembolisme pulmonar o la coagulació intravascular disseminada.
102	discapacitat	ca	01012021		discapacitat			discapacitat		Condició de la persona que presenta un trastorn físic, mental o sensorial que li impedeix o li dificulta desenvolupar la seva activitat dins dels límits considerats normals.	NOTA: Les persones amb una discapacitat poden tenir dificultats en la integració educativa, social i laboral, a conseqüència d'una deficiència previsiblement permanent, congènita o no, en llurs capacitat físiques, psíquiques o sensorials.  La discapacitat física es divideix en dos tipus: discapacitat física motora -afecta la capacitat de moviment- i discapacitat física no motora -per causes orgàniques, la persona no pot desenvolupar una vida plena. Així mateix, la discapacitat sensorial pot ser visual o auditiva. A aquests tipus de discapacitat, cal afegir-hi la discapacitat intel·lectual i la malaltia mental.  Aquestes limitacions donen dret al reconeixement del corresponent grau de minusvalidesa que, a la vegada, determina els suports administratius en forma de serveis tècnics o prestacions econòmiques.  Existeixen tres graus de minusvalidesa. a) Entre el 33% i el 64%: persones amb un grau d'autonomia que els permet la inserció social i laboral, encara que sigui en un sistema de treball protegit. b) Entre el 65% i el 74%: persones que presenten més dificultats o impossibilitats per a aconseguir una plena integració social i laboral. c) Minusvalidesa igual o superior al 75%: persones que necessiten l'ajuda de terceres persones per als actes elementals de la vida diària.  El grau de discapacitat es reconeix a partir dels barems establerts en el Reial decret 1971/1999, del 23 de desembre, de procediment per al reconeixement, declaració i qualificació del grau de disminució. El grau de minusvalidesa l'estableixen els equips de valoració especialitzats dels centres d'atenció al discapacitat i, en el cas d'infants menors de sis anys, els centres de desenvolupament infantil i atenció precoç al discapacitat.  Una vegada reconegut el grau de minusvalidesa, pel que fa a les prestacions econòmiques es reconeix el dret a la pensió d'invalidesa no contributiva regulat en l'article 144 de la Llei general de la Seguretat Social, segons el text refós aprovat pel Reial decret legislatiu 1/1994, del 20 de juny; o bé les prestacions de l'extingit Fons d'Assistència Social i de la Llei 13/1982, del 7 d'abril, d'integració social dels minusvàlids.  Quant a les prestacions tècniques, cal destacar l'accés a centres de dia, llars residencials, centres ocupacionals i certificats d'aptitud per a optar a ofertes de places reservades a discapacitats, ja sigui a les administracions públiques o en empreses privades.  Alhora, hi ha diverses exempcions de tipus fiscal, com poden ser la reducció en l'impost de la renda i l'exempció en l'import de matriculació o desgravació en l'impost de la renda de les persones físiques. Els ajuntaments poden efectuar bonificacions o exempcions en els seus propis impostos.
103	disfonia	ca	01012021		disfonia			disfonia		Trastorn de la fonació degut a canvis en les cordes vocals que causen una alteració en els paràmetres normals de to, intensitat o timbre.	NOTA: La disfonia pot ser fisiològica, com en el cas del canvi de veu dels nois en la pubertat, o patològica, en casos d'inflamacions de la laringe o per una lesió nerviosa de les cordes vocals.
104	dispnea ||| ofec ||| tapament	ca	01012021		dispnea ||| ofec ||| tapament			dispnea	ofec ||| tapament	Sensació de dificultat respiratòria associada a un augment de l'esforç per a respirar.	NOTA: Quan la dispnea és lleugera, es redueix a la sensació subjectiva; quan és més greu, hi ha signes objectius, com l'augment de la freqüència respiratòria, l'augment de la profunditat de la inspiració, la dilatació dels narius i la contracció dels músculs accessoris.
105	distància de seguretat ||| distància física	ca	01012021		distància de seguretat ||| distància física			distància de seguretat	distància física	Interval d'espai que hi ha d'haver entre dues persones com a mesura de prevenció per a evitar el contagi d'una malaltia	
106	distanciament de seguretat ||| distanciament físic	ca	01012021		distanciament de seguretat ||| distanciament físic			distanciament de seguretat	distanciament físic	Conjunt de mesures de salut pública de reducció dels contactes físics directes i indirectes entre persones per a evitar el contagi d'una malaltia.	NOTA: El distanciament de seguretat consisteix, per exemple, a mantenir una determinada distància d'una altra persona, evitar els gestos de salutació habituals, com ara encaixades de mans, abraçades o besades, o reduir les interaccions amb les persones vulnerables.
107	dol	ca	01012021		dol			dol		Resposta emocional previsible a la mort d'un ésser estimat.	
108	dolor toràcic ||| mal de pit	ca	01012021		dolor toràcic ||| mal de pit			dolor toràcic	mal de pit	Molèstia anòmala localitzada al tòrax, entre la base del coll i el diafragma.	NOTA: El dolor o la pressió al pit és un símptoma greu de la COVID-19 i requereix d'atenció mèdica al més aviat possible.
109	dosi de record ||| dosi de reforç	ca	01012021		dosi de record ||| dosi de reforç			dosi de record	dosi de reforç	Dosi addicional d'una vacuna que s'administra amb l'objectiu d'augmentar i prolongar l'efecte immunitari de la dosi o de les dosis administrades en la primovacunació.	
110	eculizumab	ca	01012021		eculizumab			eculizumab		Fàrmac immunomodulador selectiu que s'uneix a la proteïna C5 del complement per impedir-ne l'escissió i posterior activació.	NOTA: L'eculizumab preserva els primers components de l'activació del complement, que són essencials per a l'opsonització dels microorganismes i l'eliminació d'immunocomplexos.  L'eculizumab és un anticòs monoclonal humanitzat que s'empra en el tractament de l'hemoglobinúria paroxística nocturna per reduir l'hemòlisi en la síndrome hemolítica urèmica atípica i la neuromielitis òptica. Se n'ha suggerit l'ús per al tractament de la COVID-19.  La denominació eculizumab és la forma catalana corresponent a la DCI.
111	edatisme	ca	01012021		edatisme			edatisme		Actitud discriminatòria envers una persona consistent a abstenir-se d'aplicar-li mitjans diagnòstics o terapèutics que li serien beneficiosos a causa exclusivament de la seva edat avançada.	
112	efectivitat vacunal	ca	01012021		efectivitat vacunal			efectivitat vacunal		Grau en què una vacuna produeix l'efecte desitjat en la població diana quan s'aplica en les condicions reals de la pràctica clínica habitual.	NOTA: Convé distingir l'efectivitat vacunal de l'eficàcia vacunal i l'eficiència vacunal.
113	eficàcia vacunal	ca	01012021		eficàcia vacunal			eficàcia vacunal		Grau en què una vacuna produeix l'efecte desitjat quan s'aplica en condicions experimentals.	NOTA: Convé distingir l'eficàcia vacunal de l'efectivitat vacunal i l'eficiència vacunal.
114	eficiència vacunal	ca	01012021		eficiència vacunal			eficiència vacunal		Relació que s'estableix entre el cost econòmic que comporta l'administració d'una vacuna i la seva efectivitat.	NOTA: Convé distingir l'eficiència vacunal de l'efectivitat vacunal i l'eficàcia vacunal.
115	embolcall	ca	01012021		embolcall			embolcall		Membrana externa que envolta la càpsida d'alguns virus, formada per una bicapa lipídica i per glicoproteïnes, que poden sobresortir en forma d'espícules.	
116	embòlia pulmonar	ca	01012021		embòlia pulmonar			embòlia pulmonar		És la més freqüent de les embòlies i sovint és bruscament mortal; l'èmbol procedeix d'una vena trombosada. Amb la flebotrombosi originària, constitueix la malaltia tromboembòlica.	
117	emergència sanitària	ca	01012021		emergència sanitària			emergència sanitària		Segons l'Organització Mundial de la Salut, situació clínica extraordinària greu, sobtada, inusual o inesperada que comporta un risc per a salut pública d'un Estat i que pot propagar-se internacionalment.	
118	encebador	ca	01012021		encebador			encebador		Seqüència curta de DNA o d'RNA unida per complementarietat a una cadena de DNA que s'ha de replicar i a la qual s'aniran unint els nous nucleòtids.	
119	enzimoimmunoassaig sobre fase sòlida ||| ELISA	ca	01012021		enzimoimmunoassaig sobre fase sòlida ||| ELISA			enzimoimmunoassaig sobre fase sòlida	ELISA	Enzimoimmunoassaig en què un dels dos elements de la reacció, l'antigen o l'anticòs, és unit a un suport sòlid.	NOTA: La sigla ELISA prové de l'anglès enzyme-linked immunosorbent assay (literalment, 'assaig d'immunoabsorció lligat a enzims').
120	epidemiòleg | epidemiòloga	ca	01012021		epidemiòleg | epidemiòloga			epidemiòleg | epidemiòloga		Especialista en epidemiologia.	
121	epidemiologia	ca	01012021		epidemiologia			epidemiologia		Disciplina que estudia la distribució, la incidència i la prevalença dels estats relacionats amb la salut en una població, els seus determinants i l'aplicació del coneixement obtingut al control de problemes sanitaris.	
122	equip de protecció individual ||| equip de protecció personal ||| EPI	ca	01012021		equip de protecció individual ||| equip de protecció personal ||| EPI			equip de protecció individual	equip de protecció personal ||| EPI	Equipament que un treballador subjecta o porta amb l'objectiu que el protegeixi contra un o diversos riscos laborals que puguin amenaçar la seva salut i seguretat.	NOTA: Els EPI es fan servir quan no és possible evitar riscos laborals modificant l'organització del treball, ja que són intrínsecs a les característiques de la tasca que es desenvolupa: per exemple, en l'àmbit de la salut, la cura dels pacients afectats per malalties infeccioses amb risc alt de contagi.  L'ús d'EPI ha d'anar acompanyat d'altres mesures complementàries per a l'eliminació i la reducció dels riscos.
123	erradicació	ca	01012021		erradicació			erradicació		Eliminació completa d'una malaltia, especialment una malaltia infecciosa.	
124	escovilló ||| bastonet ||| raspallet	ca	01012021		escovilló ||| bastonet ||| raspallet			escovilló	bastonet ||| raspallet	Tija metàl·lica o de plàstic, amb l'extremitat coberta de cotó estèril, utilitzada per a aplicar medicacions en forma de tocs o per a obtenir mostres en un examen citològic, bacteriològic o genètic.	NOTA: Els escovillons s'usen, per exemple, per a l'obtenció de mostres de la cavitat nasofaríngia destinades al diagnòstic de la COVID-19 amb una PCR.
125	esdeveniment advers	ca	01012021		esdeveniment advers			esdeveniment advers		Experiència clínica no desitjada que pateix una persona que participa en un assaig clínic.	NOTA: El terme esdeveniment advers s'utilitza durant la fase de recerca d'un fàrmac quan no s'ha establert cap relació d'imputabilitat entre el principi actiu i l'esdeveniment advers. Si després d'aplicar els algorismes habituals es comprova que el fàrmac ha estat la causa de l'esdeveniment advers s'utilitza el terme reacció adversa.
126	fatiga ||| esgotament	ca	01012021		fatiga ||| esgotament			fatiga	esgotament	Disminució de les forces o de la resistència física o mental com a conseqüència d'un esforç, d'una feina o d'una tensió intensos i perllongats.	
127	esgotament mental ||| fatiga mental	ca	01012021		esgotament mental ||| fatiga mental			esgotament mental	fatiga mental	Estat de saturació mental en què es manifesten una sèrie de símptomes psíquics i físics molt diversos com estrès, irritabilitat, ansietat, depressió, desconcentració, cefalea, malestar digestiu o parestèsies a les extremitats.	
128	esperança de vida	ca	01012021		esperança de vida			esperança de vida		Mitjana d'anys que una persona d'un determinat grup d'edat pot arribar a viure.	
129	esperança de vida en bona salut	ca	01012021		esperança de vida en bona salut			esperança de vida en bona salut		Esperança de vida ajustada segona la qualitat de vida, tenint en compte les dades sobre autopercepció de la salut en enquestes de població.	NOTA: L'esperança de vida en bona salut permet valorar l'esforç de perllongar la vida a una persona.
130	estacionalitat	ca	01012021		estacionalitat			estacionalitat		Variació previsible i de caràcter repetitiu en el comportament d'una malaltia, que s'associa a un període de temps determinat, pròpia de la majoria de malalties infeccioses.	
131	estat d'alarma	ca	01012021		estat d'alarma			estat d'alarma		Situació d'excepció decretada pel govern d'un estat, el qual suspèn determinades garanties i llibertats personals.	NOTA: L'estat d'alarma es pot declarar, per exemple, per una situació d'emergència en salut pública, com ha estat el cas del confinament per la pandèmia de COVID-19 durant la primavera de 2020 a l'Estat espanyol.
132	estudi clínic	ca	01012021		estudi clínic			estudi clínic		Estudi realitzat en éssers humans que es duu a terme amb finalitats mèdiques o de salut.	NOTA: Poden ser objecte d'estudi clínic un fàrmac, un tractament, una tècnica diagnòstica, una tècnica terapèutica, etc.  De vegades, impròpiament, també s'utilitza la denominació assaig clínic per a designar aquest concepte.  La distinció conceptual entre estudi clínic (clinical study) i assaig clínic (clinical trial) és variable segons els especialistes, els països i les legislacions.
133	estudi de fase I ||| estudi de farmacologia humana	ca	01012021		estudi de fase I ||| estudi de farmacologia humana			estudi de fase I	estudi de farmacologia humana	Cadascun dels estudis que formen part del primer estadi de la prova d'un nou fàrmac en humans, que tenen com a objectiu verificar que el fàrmac és tolerat de manera satisfactòria.	
134	estudi de fase II ||| estudi d'exploració terapèutica	ca	01012021		estudi de fase II ||| estudi d'exploració terapèutica			estudi de fase II	estudi d'exploració terapèutica	Cadascun dels estudis que formen part del segon estadi de la prova d'un nou fàrmac en humans, que es realitzen en malalts potencials amb l'objectiu de conèixer la farmacocinètica i la farmacodinàmica del fàrmac.	NOTA: Els estudis de fase II es poden subdividir en estudis de fase IIA, quan es duen a terme amb un seguiment molt estricte i en un número reduït de pacients, i en estudis de fase IIB, quan les condicions són més properes als estudis de fase III.
135	estudi de fase III	ca	01012021		estudi de fase III			estudi de fase III		Cadascun dels estudis que formen part de l'últim estadi de la prova d'un nou fàrmac abans de la seva comercialització, que tenen com a objectiu establir-ne l'eficàcia i identificar-ne les reaccions adverses més freqüents mitjançant la comparació amb altres alternatives terapèutiques disponibles o, si no n'hi ha, amb placebo.	NOTA: Els estudis de fase III es poden subdividir en estudis de fase IIIA, quan encara no s'ha presentat la sol·licitud de registre, i estudis de fase IIIB, quan s'ha presentat el registre.
136	estudi de fase IV ||| estudi d'ús terapèutic ||| fase IV	ca	01012021		estudi de fase IV ||| estudi d'ús terapèutic ||| fase IV			estudi de fase IV	estudi d'ús terapèutic ||| fase IV	Cadascun dels estudis que es duen a terme després del registre d'un producte, que tenen com a objectiu adquirir més experiència en el seu ús respecte a la seguretat, l'eficàcia i les noves indicacions.	
137	estudi preclínic	ca	01012021		estudi preclínic			estudi preclínic		Estudi que es duu a terme in vitro o en animals durant el desenvolupament preclínic d'un fàrmac amb la finalitat d'obtenir la informació necessària per al desenvolupament del fàrmac.	
138	expedient de regulació temporal d'ocupació ||| ERTO	ca	01012021		expedient de regulació temporal d'ocupació ||| ERTO			expedient de regulació temporal d'ocupació	ERTO	Procediment administratiu mitjançant el qual una organització, per causes econòmiques, tècniques, organitzatives o de producció, pot procedir a la suspensió temporal del contracte de treball o a la reducció de la jornada laboral d'una part significativa de la plantilla.	NOTA: L'expedient de regulació temporal d'ocupació, a diferència de l'expedient de regulació d'ocupació, no implica necessàriament l'extinció del contracte de treball.
139	extubació	ca	01012021		extubació			extubació		Acció de retirar un tub del cos d'un pacient, especialment un tub que ha estat col·locat a la laringe o la tràquea per a ajudar la respiració.	
140	factor de risc	ca	01012021		factor de risc			factor de risc		Factor que al llarg del temps pot fer augmentar la probabilitat d'una persona o d'un grup de persones de desenvolupar o de presentar un problema social o de salut.	NOTA: Un factor de risc pot ser biològic, psicològic, social, econòmic o ambiental. Per exemple, el tabac és un factor de risc del càncer de pulmó i la hipertensió arterial ho és de l'accident vascular cerebral.
141	fagocitosi	ca	01012021		fagocitosi			fagocitosi		Procés pel qual un fagòcit engloba i digereix material, com ara bacteris i altres gèrmens, cossos estranys o deixalles metabòliques.	
142	fallada vacunal	ca	01012021		fallada vacunal			fallada vacunal		Situació en què una persona desenvolupa una malaltia contra la qual havia estat vacunada.	NOTA: La fallada vacunal pot ser primària o secundària.
143	fallada vacunal primària	ca	01012021		fallada vacunal primària			fallada vacunal primària		Fallada vacunal en una persona que no genera resposta immunitària després de l'administració d'una vacuna.	
144	fallada vacunal secundària	ca	01012021		fallada vacunal secundària			fallada vacunal secundària		Fallada vacunal en una persona que, malgrat haver generat resposta immunitària després de l'administració d'una vacuna, ha perdut immunitat amb el pas del temps.	
145	fals negatiu	ca	01012021		fals negatiu			fals negatiu		Resultat negatiu d'una prova diagnòstica en una persona que posseeix efectivament l'atribut o la malaltia que es vol detectar amb aquesta prova.	NOTA: Per exemple, és un fals negatiu catalogar com a sana una persona malalta quan es fa una prova de cribratge per a detectar la malaltia.
146	fals positiu	ca	01012021		fals positiu			fals positiu		Resultat positiu d'una prova diagnòstica en una persona que no posseeix realment l'atribut o la malaltia que es vol detectar amb aquesta prova.	NOTA: Per exemple, és un fals positiu catalogar com a malalta una persona sana quan es fa una prova de cribratge per a detectar la malaltia.
147	falta de concentració	ca	01012021		falta de concentració			falta de concentració		Dificultad per mantenir l'atenció en alguna cosa. NOTA: La dificultat per a concentrar-se és una de les seqüeles que pateixen les persones que han patit la COVID-19.	
148	fase de contenció	ca	01012021		fase de contenció			fase de contenció		Primera etapa que activen les autoritats sanitàries davant l'aparició d'un virus nou o desconegut, amb l'objectiu de trencar la cadena de transmissió i liquidar-lo, si és possible, abans no s'escampi d'una manera descontrolada.	NOTA: La fase de contenció inclou mesures d'identificació dels contactes, aïllament i seguiment individualitzat
149	fase de mitigació	ca	01012021		fase de mitigació			fase de mitigació		Segona etapa que activen les autoritats sanitàries davant l'aparició d'un virus nou o desconegut, quan la fase de contenció no aconsegueix contenir la propagació del virus.	NOTA: La fase de mitigació inclou mesures sobre la població general per reduir l'impacte sanitari, social i econòmic d'una propagació vírica.  La fase de mitigació s'activa quan es perd la traçabilitat dels casos i ja no és possible identificar l'origen d'alguns dels contactes, amb increment constant de casos autòctons o transmissions locals.
150	fatiga pandèmica	ca	01012021		fatiga pandèmica			fatiga pandèmica		Fatiga mental provocada pels efectes de la pandèmia en la societat, tant localment com globament.	NOTA: Segons l'Organització Mundial de la Salut, el 60 % de la població europea pateix fatiga pandèmica actualment.
151	favipiravir	ca	01012021		favipiravir			favipiravir		Fàrmac antivíric que inhibeix l'enzim RNA-polimerasa, necessari per a la replicació del genoma víric.	
152	febre	ca	01012021		febre			febre		Augment de la temperatura corporal per damunt de la xifra màxima normal que manifesta la reacció de l'organisme a algun procés patològic.	NOTA: Es considera febre per damunt dels 37°C de temperatura bucal.
153	fenofibrat	ca	01012021		fenofibrat			fenofibrat		Fàrmac hipolipemiant que afavoreix la lipòlisi i redueix els nivells plasmàtics de triglicèrids mitjançant l'activació dels receptors activats pels proliferadors de peroxisoma alfa i el subsegüent augment de l'activitat de la lipoproteïna-lipasa i la reducció de la síntesi de l'apoproteïna C-III.	NOTA: El fenofibrat s'empra com a adjuvant a la dieta en el tractament de diversos trastorns lipídics, com en la hipercolesterolèmia primària, la dislipèmia mixta i la hipertrigliceridèmia greu. És un profàrmac que s'hidrolitza a àcid fenofíbric, el seu metabòlit actiu. Se n'ha suggerit l'ús per al tractament de la COVID-19. És un derivat de l'àcid fíbric d'origen sintètic.  La denominació fenofibrat és la forma catalana corresponent a la DCI.
154	ferritina	ca	01012021		ferritina			ferritina		Ferroproteïna que es presenta en els macròfags i també en les cèl·lules epitelials de la mucosa gastrointestinal, on regula l'absorció de ferro de la dieta. Hom creu que constitueix el principal emmagatzemador fisiològic del ferro. També n'hi ha al fetge, a la melsa i a la medul·la òssia. El seu component proteic és l'apoferritina, que té un pes molecular de 450 000.	
155	fibrosi	ca	01012021		fibrosi			fibrosi		Formació de teixit fibrós, per una producció excessiva de col·lagen per causes diverses.	
156	fingolimod	ca	01012021		fingolimod			fingolimod		Fàrmac immunomodulador que s'uneix al receptor de l'esfingosina-1-fosfat per a inhibir la migració de limfòcits al sistema nerviós central.	NOTA: El fingolimod s'empra per a reduir la neuroinflamació en el tractament de l'esclerosi múltiple remitent o recurrent. Se n'ha suggerit l'ús per al tractament de la síndrome de dificultat respiratòria aguda associada a la COVID-19. És d'origen sintètic.  La denominació fingolimod es la forma catalana corresponent a la DCI.
157	fòmit	ca	01012021		fòmit			fòmit		Objecte (peça de vestir, llençol, estri, etc.) que per haver estat en contacte amb un malalt pot hostatjar microorganismes patògens i convertir-se en agent transmissor d'infeccions.	
158	frotis	ca	01012021		frotis			frotis		Preparació microscòpica, prima i transparent, d'una mostra de líquid orgànic espès o un teixit semilíquid o pastós, obtinguda estenent-la damunt el portaobjectes i assecant-la a l'aire o amb alguna substància.	NOTA: El frotis es pot protegir amb un cobreobjectes i les mostres que es preparen poden ser de sang, de secrecions, d'exsudats, de cultiu de bacteris, etc. En el cas de la COVID-19, el frotis d'exsudat orofaringi es fa servir per diagnosticar la infecció pel SARS-CoV-2.
159	civeta ||| gat d'algàlia	ca	01012021		civeta ||| gat d'algàlia			civeta	gat d'algàlia	Mamífer de la família dels vivèrrids, de l'espècie Viverra civetta, més gran que el gat domèstic, de color grisenc amb faixes negres, que té una restellera de pèls eriçables a voluntat de l'animal damunt l'esquena i una glàndula que segrega almesc.	NOTA: La civeta i els pollastres podrien ser els hostes intermedis que ajudarien a transmetre el SARS-CoV-2 de les ratapinyades als humans.
