ALELEX_ID	ALELEX_DESC	IDIOMA	DATA_INI	DATA_FIN	DESC_CA	DESC_ES	DESC_EN	F_PRINCIPAL	F_COMPLEMENT
602	al·lèrgia a la griseofulvina ||| al·lèrgia al factor Curling	ca	01012021		al·lèrgia a la griseofulvina ||| al·lèrgia al factor Curling			al·lèrgia a la griseofulvina	al·lèrgia al factor Curling
603	al·lèrgia a la grosella ||| al·lèrgia a la riba ||| al·lèrgia al fruit del riber (Ribes)	ca	01012021		al·lèrgia a la grosella ||| al·lèrgia a la riba ||| al·lèrgia al fruit del riber (Ribes)			al·lèrgia a la grosella	al·lèrgia a la riba ||| al·lèrgia al fruit del riber (Ribes)
604	al·lèrgia a la grosella negra ||| al·lèrgia al fruit del riber negre (Ribes nigrum)	ca	01012021		al·lèrgia a la grosella negra ||| al·lèrgia al fruit del riber negre (Ribes nigrum)			al·lèrgia a la grosella negra	al·lèrgia al fruit del riber negre (Ribes nigrum)
605	al·lèrgia a la grosella vermella ||| al·lèrgia al fruit del riber vermell (Ribes rubrum)	ca	01012021		al·lèrgia a la grosella vermella ||| al·lèrgia al fruit del riber vermell (Ribes rubrum)			al·lèrgia a la grosella vermella	al·lèrgia al fruit del riber vermell (Ribes rubrum)
606	al·lèrgia a la guanetidina	ca	01012021		al·lèrgia a la guanetidina			al·lèrgia a la guanetidina	
607	al·lèrgia a la guixa ||| al·lèrgia a la caireta ||| al·lèrgia a la llavor de la guixa (Lathyrus sativus) ||| al·lèrgia a la llavor de la guixera (Lathyrus sativus) ||| al·lèrgia a la llavor del pedrerol (Lathyrus sativus)	ca	01012021		al·lèrgia a la guixa ||| al·lèrgia a la caireta ||| al·lèrgia a la llavor de la guixa (Lathyrus sativus) ||| al·lèrgia a la llavor de la guixera (Lathyrus sativus) ||| al·lèrgia a la llavor del pedrerol (Lathyrus sativus)			al·lèrgia a la guixa	al·lèrgia a la caireta ||| al·lèrgia a la llavor de la guixa (Lathyrus sativus) ||| al·lèrgia a la llavor de la guixera (Lathyrus sativus) ||| al·lèrgia a la llavor del pedrerol (Lathyrus sativus)
608	al·lèrgia a la hialuronidasa	ca	01012021		al·lèrgia a la hialuronidasa			al·lèrgia a la hialuronidasa	
609	al·lèrgia a la hidralazina	ca	01012021		al·lèrgia a la hidralazina			al·lèrgia a la hidralazina	
610	al·lèrgia a la hidroclorotiazida	ca	01012021		al·lèrgia a la hidroclorotiazida			al·lèrgia a la hidroclorotiazida	
611	al·lèrgia a la hidrocortisona ||| al·lèrgia al cortisol	ca	01012021		al·lèrgia a la hidrocortisona ||| al·lèrgia al cortisol			al·lèrgia a la hidrocortisona	al·lèrgia al cortisol
612	al·lèrgia a la hidrocortisona per via tòpica	ca	01012021		al·lèrgia a la hidrocortisona per via tòpica			al·lèrgia a la hidrocortisona per via tòpica	
613	al·lèrgia a la hidroflumetiazida	ca	01012021		al·lèrgia a la hidroflumetiazida			al·lèrgia a la hidroflumetiazida	
614	al·lèrgia a la hidroxicarbamida ||| al·lèrgia a la hidroxiurea	ca	01012021		al·lèrgia a la hidroxicarbamida ||| al·lèrgia a la hidroxiurea			al·lèrgia a la hidroxicarbamida	al·lèrgia a la hidroxiurea
615	al·lèrgia a la hidroxicloroquina	ca	01012021		al·lèrgia a la hidroxicloroquina			al·lèrgia a la hidroxicloroquina	
616	al·lèrgia a la hidroxietilcel·lulosa	ca	01012021		al·lèrgia a la hidroxietilcel·lulosa			al·lèrgia a la hidroxietilcel·lulosa	
617	al·lèrgia a la hidroxiprogesterona	ca	01012021		al·lèrgia a la hidroxiprogesterona			al·lèrgia a la hidroxiprogesterona	
618	al·lèrgia a la hidroxizina	ca	01012021		al·lèrgia a la hidroxizina			al·lèrgia a la hidroxizina	
619	al·lèrgia a la hidroxocobalamina ||| al·lèrgia a la vitamina B12b	ca	01012021		al·lèrgia a la hidroxocobalamina ||| al·lèrgia a la vitamina B12b			al·lèrgia a la hidroxocobalamina	al·lèrgia a la vitamina B12b
620	al·lèrgia a la hipromel·losa	ca	01012021		al·lèrgia a la hipromel·losa			al·lèrgia a la hipromel·losa	
621	al·lèrgia a la idarubicina	ca	01012021		al·lèrgia a la idarubicina			al·lèrgia a la idarubicina	
622	al·lèrgia a la idoxuridina	ca	01012021		al·lèrgia a la idoxuridina			al·lèrgia a la idoxuridina	
623	al·lèrgia a la idoxuridina en sulfòxid de dimetil ||| al·lèrgia a la idoxuridina en dimetilsulfòxid ||| al·lèrgia a la idoxuridina en DMSO	ca	01012021		al·lèrgia a la idoxuridina en sulfòxid de dimetil ||| al·lèrgia a la idoxuridina en dimetilsulfòxid ||| al·lèrgia a la idoxuridina en DMSO			al·lèrgia a la idoxuridina en sulfòxid de dimetil	al·lèrgia a la idoxuridina en dimetilsulfòxid ||| al·lèrgia a la idoxuridina en DMSO
624	al·lèrgia a la ifosfamida	ca	01012021		al·lèrgia a la ifosfamida			al·lèrgia a la ifosfamida	
625	al·lèrgia a la imipramina	ca	01012021		al·lèrgia a la imipramina			al·lèrgia a la imipramina	
626	al·lèrgia a la immunoglobulina anti-hepatitis B ||| al·lèrgia a la immunoglobulina contra l'hepatitis B	ca	01012021		al·lèrgia a la immunoglobulina anti-hepatitis B ||| al·lèrgia a la immunoglobulina contra l'hepatitis B			al·lèrgia a la immunoglobulina anti-hepatitis B	al·lèrgia a la immunoglobulina contra l'hepatitis B
627	al·lèrgia a la immunoglobulina anti-herpes zòster ||| al·lèrgia a la immunoglobulina contra l'herpes zòster	ca	01012021		al·lèrgia a la immunoglobulina anti-herpes zòster ||| al·lèrgia a la immunoglobulina contra l'herpes zòster			al·lèrgia a la immunoglobulina anti-herpes zòster	al·lèrgia a la immunoglobulina contra l'herpes zòster
628	al·lèrgia a la immunoglobulina antitetànica ||| al·lèrgia a la immunoglobulina contra el tètanus	ca	01012021		al·lèrgia a la immunoglobulina antitetànica ||| al·lèrgia a la immunoglobulina contra el tètanus			al·lèrgia a la immunoglobulina antitetànica	al·lèrgia a la immunoglobulina contra el tètanus
629	al·lèrgia a la immunoglobulina humana	ca	01012021		al·lèrgia a la immunoglobulina humana			al·lèrgia a la immunoglobulina humana	
630	al·lèrgia a la immunoglobulina per via intramuscular	ca	01012021		al·lèrgia a la immunoglobulina per via intramuscular			al·lèrgia a la immunoglobulina per via intramuscular	
631	al·lèrgia a la immunoglobulina per via intravenosa	ca	01012021		al·lèrgia a la immunoglobulina per via intravenosa			al·lèrgia a la immunoglobulina per via intravenosa	
632	al·lèrgia a la immunoglobulina Rh0 (D)	ca	01012021		al·lèrgia a la immunoglobulina Rh0 (D)			al·lèrgia a la immunoglobulina Rh0 (D)	
633	al·lèrgia a la indapamida	ca	01012021		al·lèrgia a la indapamida			al·lèrgia a la indapamida	
634	al·lèrgia a la indometacina	ca	01012021		al·lèrgia a la indometacina			al·lèrgia a la indometacina	
635	al·lèrgia a la indoramina	ca	01012021		al·lèrgia a la indoramina			al·lèrgia a la indoramina	
636	al·lèrgia a la infusió de múltiples electròlits ||| al·lèrgia a la infusió multielectrolítica ||| al·lèrgia a la injecció de múltiples electròlits	ca	01012021		al·lèrgia a la infusió de múltiples electròlits ||| al·lèrgia a la infusió multielectrolítica ||| al·lèrgia a la injecció de múltiples electròlits			al·lèrgia a la infusió de múltiples electròlits	al·lèrgia a la infusió multielectrolítica ||| al·lèrgia a la injecció de múltiples electròlits
637	al·lèrgia a la inosina pranobex	ca	01012021		al·lèrgia a la inosina pranobex			al·lèrgia a la inosina pranobex	
638	al·lèrgia a la insulina	ca	01012021		al·lèrgia a la insulina			al·lèrgia a la insulina	
639	al·lèrgia a la insulina bovina	ca	01012021		al·lèrgia a la insulina bovina			al·lèrgia a la insulina bovina	
640	al·lèrgia a la insulina d'acció bifàsica ||| al·lèrgia a la insulina mixta	ca	01012021		al·lèrgia a la insulina d'acció bifàsica ||| al·lèrgia a la insulina mixta			al·lèrgia a la insulina d'acció bifàsica	al·lèrgia a la insulina mixta
641	al·lèrgia a la insulina d'acció ràpida ||| al·lèrgia a la insulina cristal·lina ||| al·lèrgia a la insulina neutra ||| al·lèrgia a la insulina normal ||| al·lèrgia a la insulina regular ||| al·lèrgia a la insulina soluble	ca	01012021		al·lèrgia a la insulina d'acció ràpida ||| al·lèrgia a la insulina cristal·lina ||| al·lèrgia a la insulina neutra ||| al·lèrgia a la insulina normal ||| al·lèrgia a la insulina regular ||| al·lèrgia a la insulina soluble			al·lèrgia a la insulina d'acció ràpida	al·lèrgia a la insulina cristal·lina ||| al·lèrgia a la insulina neutra ||| al·lèrgia a la insulina normal ||| al·lèrgia a la insulina regular ||| al·lèrgia a la insulina soluble
642	al·lèrgia a la insulina humana	ca	01012021		al·lèrgia a la insulina humana			al·lèrgia a la insulina humana	
643	al·lèrgia a la insulina isòfana ||| al·lèrgia a la insulina NPH	ca	01012021		al·lèrgia a la insulina isòfana ||| al·lèrgia a la insulina NPH			al·lèrgia a la insulina isòfana	al·lèrgia a la insulina NPH
644	al·lèrgia a la insulina isòfana d'acció bifàsica ||| al·lèrgia a la insulina NPH d'acció bifàsica	ca	01012021		al·lèrgia a la insulina isòfana d'acció bifàsica ||| al·lèrgia a la insulina NPH d'acció bifàsica			al·lèrgia a la insulina isòfana d'acció bifàsica	al·lèrgia a la insulina NPH d'acció bifàsica
645	al·lèrgia a la insulina porcina	ca	01012021		al·lèrgia a la insulina porcina			al·lèrgia a la insulina porcina	
646	al·lèrgia a la insulina-protamina-zinc ||| al·lèrgia a la insulina amb protamina i zinc	ca	01012021		al·lèrgia a la insulina-protamina-zinc ||| al·lèrgia a la insulina amb protamina i zinc			al·lèrgia a la insulina-protamina-zinc	al·lèrgia a la insulina amb protamina i zinc
647	al·lèrgia a la ipecacuana (Carapichea ipecacuanha)	ca	01012021		al·lèrgia a la ipecacuana (Carapichea ipecacuanha)			al·lèrgia a la ipecacuana (Carapichea ipecacuanha)	
648	al·lèrgia a la iproniazida	ca	01012021		al·lèrgia a la iproniazida			al·lèrgia a la iproniazida	
649	al·lèrgia a la isocarboxazida	ca	01012021		al·lèrgia a la isocarboxazida			al·lèrgia a la isocarboxazida	
650	al·lèrgia a la isoniazida	ca	01012021		al·lèrgia a la isoniazida			al·lèrgia a la isoniazida	
651	al·lèrgia a la isoprenalina ||| al·lèrgia a l'isoproterenol	ca	01012021		al·lèrgia a la isoprenalina ||| al·lèrgia a l'isoproterenol			al·lèrgia a la isoprenalina	al·lèrgia a l'isoproterenol
652	al·lèrgia a la isoprenalina per via inhalatòria ||| al·lèrgia a l'isoproterenol per via inhalatòria	ca	01012021		al·lèrgia a la isoprenalina per via inhalatòria ||| al·lèrgia a l'isoproterenol per via inhalatòria			al·lèrgia a la isoprenalina per via inhalatòria	al·lèrgia a l'isoproterenol per via inhalatòria
653	al·lèrgia a la isoprenalina per via oral ||| al·lèrgia a l'isoproterenol per via oral	ca	01012021		al·lèrgia a la isoprenalina per via oral ||| al·lèrgia a l'isoproterenol per via oral			al·lèrgia a la isoprenalina per via oral	al·lèrgia a l'isoproterenol per via oral
654	al·lèrgia a la isoprenalina per via parenteral ||| al·lèrgia a l'isoproterenol per via parenteral	ca	01012021		al·lèrgia a la isoprenalina per via parenteral ||| al·lèrgia a l'isoproterenol per via parenteral			al·lèrgia a la isoprenalina per via parenteral	al·lèrgia a l'isoproterenol per via parenteral
655	al·lèrgia a la isotretinoïna	ca	01012021		al·lèrgia a la isotretinoïna			al·lèrgia a la isotretinoïna	
656	al·lèrgia a la isoxsuprina	ca	01012021		al·lèrgia a la isoxsuprina			al·lèrgia a la isoxsuprina	
657	al·lèrgia a la isradipina	ca	01012021		al·lèrgia a la isradipina			al·lèrgia a la isradipina	
658	al·lèrgia a la kanamicina	ca	01012021		al·lèrgia a la kanamicina			al·lèrgia a la kanamicina	
659	al·lèrgia a la ketamina	ca	01012021		al·lèrgia a la ketamina			al·lèrgia a la ketamina	
660	al·lèrgia a la lacidipina	ca	01012021		al·lèrgia a la lacidipina			al·lèrgia a la lacidipina	
661	al·lèrgia a la lactoalbúmina alfa ||| al·lèrgia a l'albúmina de llet alfa ||| al·lèrgia a la lactalbúmina alfa	ca	01012021		al·lèrgia a la lactoalbúmina alfa ||| al·lèrgia a l'albúmina de llet alfa ||| al·lèrgia a la lactalbúmina alfa			al·lèrgia a la lactoalbúmina alfa	al·lèrgia a l'albúmina de llet alfa ||| al·lèrgia a la lactalbúmina alfa
662	al·lèrgia a la lactoalbúmina beta ||| al·lèrgia a l'albúmina de llet beta ||| al·lèrgia a la lactalbúmina beta	ca	01012021		al·lèrgia a la lactoalbúmina beta ||| al·lèrgia a l'albúmina de llet beta ||| al·lèrgia a la lactalbúmina beta			al·lèrgia a la lactoalbúmina beta	al·lèrgia a l'albúmina de llet beta ||| al·lèrgia a la lactalbúmina beta
663	al·lèrgia a la lactoferrina bovina	ca	01012021		al·lèrgia a la lactoferrina bovina			al·lèrgia a la lactoferrina bovina	
664	al·lèrgia a la lactoglobulina	ca	01012021		al·lèrgia a la lactoglobulina			al·lèrgia a la lactoglobulina	
665	al·lèrgia a la lactosa ||| al·lèrgia a la lactina ||| al·lèrgia a la lactobiosa	ca	01012021		al·lèrgia a la lactosa ||| al·lèrgia a la lactina ||| al·lèrgia a la lactobiosa			al·lèrgia a la lactosa	al·lèrgia a la lactina ||| al·lèrgia a la lactobiosa
666	al·lèrgia a la lactulosa	ca	01012021		al·lèrgia a la lactulosa			al·lèrgia a la lactulosa	
667	al·lèrgia a la lamotrigina	ca	01012021		al·lèrgia a la lamotrigina			al·lèrgia a la lamotrigina	
668	al·lèrgia a la leuprorelina ||| al·lèrgia a la leuprolida	ca	01012021		al·lèrgia a la leuprorelina ||| al·lèrgia a la leuprolida			al·lèrgia a la leuprorelina	al·lèrgia a la leuprolida
669	al·lèrgia a la levodopa ||| al·lèrgia a l'L-DOPA	ca	01012021		al·lèrgia a la levodopa ||| al·lèrgia a l'L-DOPA			al·lèrgia a la levodopa	al·lèrgia a l'L-DOPA
670	al·lèrgia a la levomepromazina ||| al·lèrgia a la metotrimeprazina	ca	01012021		al·lèrgia a la levomepromazina ||| al·lèrgia a la metotrimeprazina			al·lèrgia a la levomepromazina	al·lèrgia a la metotrimeprazina
671	al·lèrgia a la lidocaïna ||| al·lèrgia a la lignocaïna	ca	01012021		al·lèrgia a la lidocaïna ||| al·lèrgia a la lignocaïna			al·lèrgia a la lidocaïna	al·lèrgia a la lignocaïna
672	al·lèrgia a la lidoflazina	ca	01012021		al·lèrgia a la lidoflazina			al·lèrgia a la lidoflazina	
673	al·lèrgia a la limeciclina	ca	01012021		al·lèrgia a la limeciclina			al·lèrgia a la limeciclina	
674	al·lèrgia a la lincomicina	ca	01012021		al·lèrgia a la lincomicina			al·lèrgia a la lincomicina	
675	al·lèrgia a la lincomicina i als seus derivats	ca	01012021		al·lèrgia a la lincomicina i als seus derivats			al·lèrgia a la lincomicina i als seus derivats	
676	al·lèrgia a la liotironina	ca	01012021		al·lèrgia a la liotironina			al·lèrgia a la liotironina	
677	al·lèrgia a la lipressina	ca	01012021		al·lèrgia a la lipressina			al·lèrgia a la lipressina	
678	al·lèrgia a la lisurida	ca	01012021		al·lèrgia a la lisurida			al·lèrgia a la lisurida	
679	al·lèrgia a la llagosta (Palinurus vulgaris)	ca	01012021		al·lèrgia a la llagosta (Palinurus vulgaris)			al·lèrgia a la llagosta (Palinurus vulgaris)	
680	al·lèrgia a la llana	ca	01012021		al·lèrgia a la llana			al·lèrgia a la llana	
681	al·lèrgia a la llavor de carabassa ||| al·lèrgia a la llavor de carbassa ||| al·lèrgia a la llavor de la carabassera (Cucurbita pepo) ||| al·lèrgia a la llavor de la carbassera (Cucurbita pepo) ||| al·lèrgia a la llavor del carabasser (Cucurbita pepo) ||| al·lèrgia a la llavor del carbasser (Cucurbita pepo)	ca	01012021		al·lèrgia a la llavor de carabassa ||| al·lèrgia a la llavor de carbassa ||| al·lèrgia a la llavor de la carabassera (Cucurbita pepo) ||| al·lèrgia a la llavor de la carbassera (Cucurbita pepo) ||| al·lèrgia a la llavor del carabasser (Cucurbita pepo) ||| al·lèrgia a la llavor del carbasser (Cucurbita pepo)			al·lèrgia a la llavor de carabassa	al·lèrgia a la llavor de carbassa ||| al·lèrgia a la llavor de la carabassera (Cucurbita pepo) ||| al·lèrgia a la llavor de la carbassera (Cucurbita pepo) ||| al·lèrgia a la llavor del carabasser (Cucurbita pepo) ||| al·lèrgia a la llavor del carbasser (Cucurbita pepo)
682	al·lèrgia al carabassí ||| al·lèrgia al carbassí	ca	01012021		al·lèrgia al carabassí ||| al·lèrgia al carbassí			al·lèrgia al carabassí	al·lèrgia al carbassí
683	al·lèrgia a la llavor de cotó ||| al·lèrgia a la grana de cotoner (Gossypium) ||| al·lèrgia a la llavor del cotoner (Gossypium)	ca	01012021		al·lèrgia a la llavor de cotó ||| al·lèrgia a la grana de cotoner (Gossypium) ||| al·lèrgia a la llavor del cotoner (Gossypium)			al·lèrgia a la llavor de cotó	al·lèrgia a la grana de cotoner (Gossypium) ||| al·lèrgia a la llavor del cotoner (Gossypium)
684	al·lèrgia a la llavor de fonoll ||| al·lèrgia a la llavor de fenoll ||| al·lèrgia a la llavor del fenoll (Foeniculum vulgare) ||| al·lèrgia a la llavor del fonoll (Foeniculum vulgare)	ca	01012021		al·lèrgia a la llavor de fonoll ||| al·lèrgia a la llavor de fenoll ||| al·lèrgia a la llavor del fenoll (Foeniculum vulgare) ||| al·lèrgia a la llavor del fonoll (Foeniculum vulgare)			al·lèrgia a la llavor de fonoll	al·lèrgia a la llavor de fenoll ||| al·lèrgia a la llavor del fenoll (Foeniculum vulgare) ||| al·lèrgia a la llavor del fonoll (Foeniculum vulgare)
685	al·lèrgia a la llavor de rosella ||| al·lèrgia a la llavor de la lloca (Papaver rhoeas) ||| al·lèrgia a la llavor de la paparota (Papaver rhoeas) ||| al·lèrgia a la llavor de la rosella (Papaver rhoeas) ||| al·lèrgia a la llavor del babol (Papaver rhoeas) ||| al·lèrgia a la llavor del badabadoc (Papaver rhoeas) ||| al·lèrgia a la llavor del colet (Papaver rhoeas) ||| al·lèrgia a la llavor del gall (Papaver rhoeas) ||| al·lèrgia a la llavor del gallaret (Papaver rhoeas) ||| al·lèrgia a la llavor del paramà (Papaver rhoeas) ||| al·lèrgia a la llavor del pipiripip (Papaver rhoeas) ||| al·lèrgia a la llavor del quiquiriquic (Papaver rhoeas)	ca	01012021		al·lèrgia a la llavor de rosella ||| al·lèrgia a la llavor de la lloca (Papaver rhoeas) ||| al·lèrgia a la llavor de la paparota (Papaver rhoeas) ||| al·lèrgia a la llavor de la rosella (Papaver rhoeas) ||| al·lèrgia a la llavor del babol (Papaver rhoeas) ||| al·lèrgia a la llavor del badabadoc (Papaver rhoeas) ||| al·lèrgia a la llavor del colet (Papaver rhoeas) ||| al·lèrgia a la llavor del gall (Papaver rhoeas) ||| al·lèrgia a la llavor del gallaret (Papaver rhoeas) ||| al·lèrgia a la llavor del paramà (Papaver rhoeas) ||| al·lèrgia a la llavor del pipiripip (Papaver rhoeas) ||| al·lèrgia a la llavor del quiquiriquic (Papaver rhoeas)			al·lèrgia a la llavor de rosella	al·lèrgia a la llavor de la lloca (Papaver rhoeas) ||| al·lèrgia a la llavor de la paparota (Papaver rhoeas) ||| al·lèrgia a la llavor de la rosella (Papaver rhoeas) ||| al·lèrgia a la llavor del babol (Papaver rhoeas) ||| al·lèrgia a la llavor del badabadoc (Papaver rhoeas) ||| al·lèrgia a la llavor del colet (Papaver rhoeas) ||| al·lèrgia a la llavor del gall (Papaver rhoeas) ||| al·lèrgia a la llavor del gallaret (Papaver rhoeas) ||| al·lèrgia a la llavor del paramà (Papaver rhoeas) ||| al·lèrgia a la llavor del pipiripip (Papaver rhoeas) ||| al·lèrgia a la llavor del quiquiriquic (Papaver rhoeas)
686	al·lèrgia a la llavor del gira-sol (Helianthus annuus) ||| al·lèrgia a la llavor del mira-sol (Helianthus annuus) ||| al·lèrgia a la llavor del sol coronat (Helianthus annuus)	ca	01012021		al·lèrgia a la llavor del gira-sol (Helianthus annuus) ||| al·lèrgia a la llavor del mira-sol (Helianthus annuus) ||| al·lèrgia a la llavor del sol coronat (Helianthus annuus)			al·lèrgia a la llavor del gira-sol (Helianthus annuus)	al·lèrgia a la llavor del mira-sol (Helianthus annuus) ||| al·lèrgia a la llavor del sol coronat (Helianthus annuus)
687	al·lèrgia a la llentia ||| al·lèrgia a la llavor de la llentia (Lens culinaris) ||| al·lèrgia a la llentilla	ca	01012021		al·lèrgia a la llentia ||| al·lèrgia a la llavor de la llentia (Lens culinaris) ||| al·lèrgia a la llentilla			al·lèrgia a la llentia	al·lèrgia a la llavor de la llentia (Lens culinaris) ||| al·lèrgia a la llentilla
688	al·lèrgia a la llet d'egua ||| al·lèrgia a la llet d'euga	ca	01012021		al·lèrgia a la llet d'egua ||| al·lèrgia a la llet d'euga			al·lèrgia a la llet d'egua	al·lèrgia a la llet d'euga
689	al·lèrgia a la llet d'ovella	ca	01012021		al·lèrgia a la llet d'ovella			al·lèrgia a la llet d'ovella	
690	al·lèrgia a la llet de cabra	ca	01012021		al·lèrgia a la llet de cabra			al·lèrgia a la llet de cabra	
691	al·lèrgia a la llet de vaca	ca	01012021		al·lèrgia a la llet de vaca			al·lèrgia a la llet de vaca	
692	al·lèrgia a la llima ||| al·lèrgia al fruit de la llimera (Citrus aurantiifolia)	ca	01012021		al·lèrgia a la llima ||| al·lèrgia al fruit de la llimera (Citrus aurantiifolia)			al·lèrgia a la llima	al·lèrgia al fruit de la llimera (Citrus aurantiifolia)
693	al·lèrgia a la llimona ||| al·lèrgia a la llima ||| al·lèrgia al fruit de la llimonera (Citrus limon) ||| al·lèrgia al fruit del llimoner (Citrus limon) ||| al·lèrgia al llimó	ca	01012021		al·lèrgia a la llimona ||| al·lèrgia a la llima ||| al·lèrgia al fruit de la llimonera (Citrus limon) ||| al·lèrgia al fruit del llimoner (Citrus limon) ||| al·lèrgia al llimó			al·lèrgia a la llimona	al·lèrgia a la llima ||| al·lèrgia al fruit de la llimonera (Citrus limon) ||| al·lèrgia al fruit del llimoner (Citrus limon) ||| al·lèrgia al llimó
694	al·lèrgia a la lodoxamida	ca	01012021		al·lèrgia a la lodoxamida			al·lèrgia a la lodoxamida	
695	al·lèrgia a la lofepramina	ca	01012021		al·lèrgia a la lofepramina			al·lèrgia a la lofepramina	
696	al·lèrgia a la lofexidina	ca	01012021		al·lèrgia a la lofexidina			al·lèrgia a la lofexidina	
697	al·lèrgia a la lomustina ||| al·lèrgia a la CCNU	ca	01012021		al·lèrgia a la lomustina ||| al·lèrgia a la CCNU			al·lèrgia a la lomustina	al·lèrgia a la CCNU
698	al·lèrgia a la loperamida	ca	01012021		al·lèrgia a la loperamida			al·lèrgia a la loperamida	
699	al·lèrgia a la loratadina	ca	01012021		al·lèrgia a la loratadina			al·lèrgia a la loratadina	
700	al·lèrgia a la loxapina	ca	01012021		al·lèrgia a la loxapina			al·lèrgia a la loxapina	
701	al·lèrgia a la macadàmia ||| al·lèrgia a la llavor de la macadàmia (Macadamia integrifolia) ||| al·lèrgia a la llavor de la macadàmia (Macadamia tetraphylla) ||| al·lèrgia a la nou d'Austràlia	ca	01012021		al·lèrgia a la macadàmia ||| al·lèrgia a la llavor de la macadàmia (Macadamia integrifolia) ||| al·lèrgia a la llavor de la macadàmia (Macadamia tetraphylla) ||| al·lèrgia a la nou d'Austràlia			al·lèrgia a la macadàmia	al·lèrgia a la llavor de la macadàmia (Macadamia integrifolia) ||| al·lèrgia a la llavor de la macadàmia (Macadamia tetraphylla) ||| al·lèrgia a la nou d'Austràlia
702	al·lèrgia a la maduixa ||| al·lèrgia a la fraga al·lèrgia a la fraula ||| al·lèrgia a la fraga ||| al·lèrgia a la fraula ||| al·lèrgia al fruit de la maduixera (Fragaria vesca) ||| al·lèrgia al fruit del maduixer (Fragaria vesca)	ca	01012021		al·lèrgia a la maduixa ||| al·lèrgia a la fraga al·lèrgia a la fraula ||| al·lèrgia a la fraga ||| al·lèrgia a la fraula ||| al·lèrgia al fruit de la maduixera (Fragaria vesca) ||| al·lèrgia al fruit del maduixer (Fragaria vesca)			al·lèrgia a la maduixa	al·lèrgia a la fraga al·lèrgia a la fraula ||| al·lèrgia a la fraga ||| al·lèrgia a la fraula ||| al·lèrgia al fruit de la maduixera (Fragaria vesca) ||| al·lèrgia al fruit del maduixer (Fragaria vesca)
703	al·lèrgia a la mafenida	ca	01012021		al·lèrgia a la mafenida			al·lèrgia a la mafenida	
704	al·lèrgia a la mandarina ||| al·lèrgia al fruit del mandariner (Citrus reticulata) ||| al·lèrgia al fruit del taronger mandarí (Citrus reticulata)	ca	01012021		al·lèrgia a la mandarina ||| al·lèrgia al fruit del mandariner (Citrus reticulata) ||| al·lèrgia al fruit del taronger mandarí (Citrus reticulata)			al·lèrgia a la mandarina	al·lèrgia al fruit del mandariner (Citrus reticulata) ||| al·lèrgia al fruit del taronger mandarí (Citrus reticulata)
705	al·lèrgia a la maprotilina	ca	01012021		al·lèrgia a la maprotilina			al·lèrgia a la maprotilina	
706	al·lèrgia a la mebeverina	ca	01012021		al·lèrgia a la mebeverina			al·lèrgia a la mebeverina	
707	al·lèrgia a la mebhidrolina	ca	01012021		al·lèrgia a la mebhidrolina			al·lèrgia a la mebhidrolina	
708	al·lèrgia a la medroxiprogesterona	ca	01012021		al·lèrgia a la medroxiprogesterona			al·lèrgia a la medroxiprogesterona	
709	al·lèrgia a la mefloquina	ca	01012021		al·lèrgia a la mefloquina			al·lèrgia a la mefloquina	
710	al·lèrgia a la mefrusida	ca	01012021		al·lèrgia a la mefrusida			al·lèrgia a la mefrusida	
711	al·lèrgia a la meglitinida	ca	01012021		al·lèrgia a la meglitinida			al·lèrgia a la meglitinida	
712	al·lèrgia a la mel	ca	01012021		al·lèrgia a la mel			al·lèrgia a la mel	
713	al·lèrgia a la mepacrina	ca	01012021		al·lèrgia a la mepacrina			al·lèrgia a la mepacrina	
714	al·lèrgia a la mepiramina	ca	01012021		al·lèrgia a la mepiramina			al·lèrgia a la mepiramina	
715	al·lèrgia a la mepivacaïna	ca	01012021		al·lèrgia a la mepivacaïna			al·lèrgia a la mepivacaïna	
716	al·lèrgia a la mequitazina	ca	01012021		al·lèrgia a la mequitazina			al·lèrgia a la mequitazina	
717	al·lèrgia a la mercaptopurina	ca	01012021		al·lèrgia a la mercaptopurina			al·lèrgia a la mercaptopurina	
718	al·lèrgia a la mesna	ca	01012021		al·lèrgia a la mesna			al·lèrgia a la mesna	
719	al·lèrgia a la mesterolona	ca	01012021		al·lèrgia a la mesterolona			al·lèrgia a la mesterolona	
720	al·lèrgia a la metacolina	ca	01012021		al·lèrgia a la metacolina			al·lèrgia a la metacolina	
721	al·lèrgia a la metadona	ca	01012021		al·lèrgia a la metadona			al·lèrgia a la metadona	
722	al·lèrgia a la metformina	ca	01012021		al·lèrgia a la metformina			al·lèrgia a la metformina	
723	al·lèrgia a la meticil·lina	ca	01012021		al·lèrgia a la meticil·lina			al·lèrgia a la meticil·lina	
724	al·lèrgia a la meticlotiazida	ca	01012021		al·lèrgia a la meticlotiazida			al·lèrgia a la meticlotiazida	
725	al·lèrgia a la metilcisteïna	ca	01012021		al·lèrgia a la metilcisteïna			al·lèrgia a la metilcisteïna	
726	al·lèrgia a la metildigoxina	ca	01012021		al·lèrgia a la metildigoxina			al·lèrgia a la metildigoxina	
727	al·lèrgia a la metildopa	ca	01012021		al·lèrgia a la metildopa			al·lèrgia a la metildopa	
728	al·lèrgia a la metildopa i als diürètics	ca	01012021		al·lèrgia a la metildopa i als diürètics			al·lèrgia a la metildopa i als diürètics	
