SAMLEX_ID	SAMLEX_DESC	IDIOMA	DATA_INI	DATA_FIN	DESC_CA	DESC_ES	DESC_EN	F_PRINCIPAL	F_COMPLEMENT	DEFINICIÓ	NOTES
71	contenció emocional ||| contenció psicològica	ca	01012021		contenció emocional ||| contenció psicològica			contenció emocional	contenció psicològica	Creació de les condicions i l'espai que facilitin l'elaboració i el desenvolupament de les capacitats mentals, amb l'objectiu que els impulsos, els instints o les emocions siguin contrastats amb la realitat i es puguin posar en acció d'una manera no destructiva, positiva i saludable.	NOTA: La contenció emocional no és una mesura restrictiva, a diferència de la contenció física, la contenció mecànica i la contenció farmacològica.
72	contenció farmacològica ||| restricció farmacològica ||| contenció química ||| restricció química	ca	01012021		contenció farmacològica ||| restricció farmacològica ||| contenció química ||| restricció química			contenció farmacològica	restricció farmacològica ||| contenció química ||| restricció química	Mesura restrictiva consistent en el control del comportament o la limitació de la mobilitat d'una persona mitjançant l'administració de substàncies psicoactives, amb l'objectiu d'evitar situacions que suposin un risc per a ella o per a altres persones.	
73	contenció física ||| restricció física ||| immobilització física ||| subjecció física	ca	01012021		contenció física ||| restricció física ||| immobilització física ||| subjecció física			contenció física	restricció física ||| immobilització física ||| subjecció física	Mesura restrictiva consistent en la limitació parcial o total de la mobilitat d'una persona mitjançant l'aplicació de força per part d'una altra persona, o més d'una, cos a cos, i sense l'aplicació de dispositius mecànics, amb l'objectiu d'impedir que faci moviments que puguin suposar un risc per a ella o per a altres persones.	
74	contenció mecànica ||| restricció mecànica ||| immobilització mecànica ||| subjecció mecànica	ca	01012021		contenció mecànica ||| restricció mecànica ||| immobilització mecànica ||| subjecció mecànica			contenció mecànica	restricció mecànica ||| immobilització mecànica ||| subjecció mecànica	Mesura restrictiva consistent en la limitació parcial o total de la mobilitat d'una persona mitjançant un dispositiu tècnic o tèxtil o un element del mobiliari, en contacte o molt proper a la persona, amb l'objectiu d'impedir que faci moviments que puguin suposar un risc per a ella o per a altres persones.	
75	contenció verbal	ca	01012021		contenció verbal			contenció verbal		Tècnica basada en l'ús de la verbalització de les emocions per a reduir la tensió o atenuar determinats comportaments de risc d'una persona amb la conducta alterada.	NOTA: La contenció verbal es recomana com a primera pauta d'actuació davant d'una situació de crisi, amb l'objectiu d'evitar l'ús de mesures restrictives.
76	contenció zero ||| subjecció zero	ca	01012021		contenció zero ||| subjecció zero			contenció zero	subjecció zero	Conjunt d'estratègies d'un servei assistencial orientades a limitar al màxim l'ús de mesures restrictives, especialment la contenció mecànica, i, fins i tot, a prescindir-ne, com a tècnica per a afrontar les situacions que suposen un risc per a una persona o per a terceres persones.	NOTA: La contenció zero posa en primer pla el respecte a l'autonomia, la dignitat i l'autoestima de les persones ateses.
77	continuïtat assistencial ||| contínuum assistencial	ca	01012021		continuïtat assistencial ||| contínuum assistencial			continuïtat assistencial	contínuum assistencial	Manteniment de l'atenció prestada a una persona, que es basa en la coordinació entre els diferents serveis socials i sanitaris i en la coherència de les seves actuacions al llarg del temps.	NOTA: La continuïtat assistencial en l'atenció a la salut mental i a les addiccions és crucial per la manca de consciència de malaltia, en general, i per les incomoditats que generen els tractaments a llarg termini, que moltes vegades provoquen que la persona atesa abandoni l'assistència i que, en conseqüència, pateixi crisis greus.
78	criança positiva	ca	01012021		criança positiva			criança positiva		Educació dels infants en el context familiar basada en el respecte i el reconeixement de la individualitat i en un tracte afectiu i no violent dins un marc de normes i valors, que té per objectiu potenciar la seguretat i l'autonomia progressiva de l'infant i contribuir al seu desenvolupament integral.	NOTA: La criança positiva pot actuar com a factor de protecció.
79	cronicitat	ca	01012021		cronicitat			cronicitat		Conjunt de problemes socials o de salut de llarga durada i dels efectes que produeixen sobre les persones o sobre els grups poblacionals, el seu entorn, el sistema sanitari o de serveis socials i la societat en general.	NOTA: 1. La cronicitat va associada als problemes de salut mental i als trastorns per ús de substàncies, ja que en moltes ocasions aquests problemes s'allarguen en el temps i, sumats als obstacles socials per a una participació plena en la comunitat, poden generar discapacitat. NOTA: 2. La cronicitat en les malalties orgàniques va lligada a l'aparició de trastorns mentals, els quals, al seu torn, incrementen el risc de tenir malalties metabòliques, cardiovasculars i respiratòries i n'empitjoren els resultats de salut. NOTA: 3. La cronicitat és una característica molt freqüent dels trastorns mentals, especialment dels més greus, i dels trastorns per ús de substàncies. Es qualifica de complexa quan una persona presenta dos o més diagnòstics psiquiàtrics, una comorbiditat orgànica greu, una situació social adversa o una desvinculació perllongada dels serveis d'atenció.
80	cuidador | cuidadora	ca	01012021		cuidador | cuidadora			cuidador | cuidadora		Persona que presta el suport necessari perquè una persona amb una discapacitat, un trastorn mental o un estat de dependència pugui gaudir dels màxims nivells de salut i benestar i desenvolupar les activitats bàsiques de la vida diària d'acord amb la seva condició.	NOTA: El cuidador o la cuidadora pot ser formal (és a dir, professional) o informal (és a dir, no professional, habitualment algú de l'entorn familiar o veïnal o una amistat). En el pla informal necessita suport per poder assumir la sobrecàrrega emocional i física que sovint comporta la seva funció i que pot posar en risc la seva salut mental. Per això, compta, per exemple, amb els grups d'ajuda mútua o el relleu.
81	curador | curadora	ca	01012021		curador | curadora			curador | curadora		Persona física o jurídica en qui recau l'exercici de la curatela.	NOTA: El curador o la curadora, a diferència del tutor o la tutora, no representa la persona subjecta a curatela, sinó que es limita a completar-ne la capacitat d'obrar.
82	curatela ||| curadoria	ca	01012021		curatela ||| curadoria			curatela	curadoria	Figura jurídica de suport i protecció de la capacitat d'obrar que té per objecte assistir una persona sotmesa a una modificació parcial de la capacitat en la realització de determinats actes	NOTA: 1. La curatela no pretén substituir la voluntat de la persona, sinó complementar-la. Per tant, totes les decisions que afecten l'àmbit objecte de la curatela s'han de pactar. NOTA: 2. La curatela es materialitza amb el nomenament judicial d'un curador o una curadora o d'una fundació tutelar.
83	decisió compartida	ca	01012021		decisió compartida			decisió compartida		Decisió presa de manera consensuada entre el conjunt de professionals de la salut i la persona atesa o, si escau, el seu entorn.	NOTA: La decisió compartida es basa en l'establiment d'una bona relació assistencial, en el coneixement de les característiques i de les expectatives personals de la persona atesa i els seus familiars, i en la informació adequada sobre el problema de salut i les alternatives diagnòstiques i terapèutiques disponibles.
84	defensor judicial | defensora judicial ||| defensor | defensora	ca	01012021		defensor judicial | defensora judicial ||| defensor | defensora			defensor judicial | defensora judicial	defensor | defensora	Figura jurídica de suport i protecció de la capacitat d'obrar de caràcter provisional que té per objecte assistir i representar una persona amb discapacitat quan té un conflicte d'interessos amb el tutor o el curador o bé quan necessita protecció abans que la tutela, la curatela o la figura de suport idònia en el seu cas s'hagin constituït oficialment.	
85	deficiència	ca	01012021		deficiència			deficiència		Afectació consistent en la pèrdua o l'anormalitat permanent d'una estructura o una funció física, sensorial, intel·lectual o mental en una persona com a conseqüència d'una malaltia, un trastorn o un accident.	NOTA: 1. La deficiència en relació amb un problema de salut mental pot ser un símptoma, com ara una al·lucinació, un dèficit cognitiu o una dificultat adaptativa a l'estrès, o un comportament, com ara el consum de substàncies. NOTA: 2. La deficiència pot causar rebuig social, el qual pot provocar l'aïllament social i la disminució de l'autoestima de la persona afectada. Tot plegat, pot incrementar o agreujar els símptomes o els comportaments patològics. NOTA: 3. La deficiència del funcionament mental o del comportament pot afectar la capacitat de prendre decisions autònomes.
86	autotutela ||| delació voluntària	ca	01012021		autotutela ||| delació voluntària			autotutela	delació voluntària	Designació voluntària d'una persona com a tutor o, si escau, de les persones excloses per a aquest càrrec, que una persona amb competència pot fer en previsió d'una modificació de la capacitat	NOTA: 1. L'autotutela s'atorga mitjançant un document públic notarial, en què es poden incloure altres disposicions relatives tant a la cura de la persona com a l'administració dels seus béns. També s'hi poden establir òrgans de control o fiscalització de la tutela i definir la manera d'exercir-la. NOTA: 2. L'autotutela pot formar part de la planificació de decisions anticipades.
87	dependència	ca	01012021		dependència			dependència		Estat d'una persona que necessita l'ajuda d'una altra persona per a dur a terme les activitats de la vida diària o per a prendre decisions sobre els aspectes que afecten la seva vida.	NOTA: 1. La dependència pot ser permanent o transitòria i pot estar causada per efectes de l'edat, per un problema de salut, generalment crònic, o per una discapacitat que derivi en una pèrdua d'autonomia física, psíquica o sensorial. NOTA: 2. La dependència en el cas de les persones amb trastorns mentals greus i persistents augmenta a causa dels problemes orgànics que sovint porten associats aquests trastorns, com ara malalties metabòliques, obesitat o consum de substàncies.
88	desenvolupament psicosocial	ca	01012021		desenvolupament psicosocial			desenvolupament psicosocial		Procés maduratiu global de la personalitat individual que té lloc de la infància a la maduresa, el qual serveix per a adquirir actituds socials.	NOTA: Un desenvolupament psicosocial òptim pot actuar com a factor de protecció.
89	desigualtat social	ca	01012021		desigualtat social			desigualtat social		Falta d'equitat, en el si d'una comunitat, en la participació en la societat i en l'accés a l'atenció sanitària, als serveis socials i a les oportunitats educatives i laborals, motivada, principalment, per la diferència en el nivell d'ingressos, el nivell d'estudis i l'estat de salut.	NOTA: La desigualtat social augmenta la probabilitat de patir un trastorn mental o un trastorn per ús de substàncies i, en el cas de les persones que en pateixen un, l'agreuja. Per exemple, suposa una barrera d'accés i una disminució de les oportunitats socials al seu abast.
90	desinstitucionalització	ca	01012021		desinstitucionalització			desinstitucionalització		Conjunt de mesures sanitàries i socials que té per objectiu suprimir les institucions psiquiàtriques tradicionals tancades i substituir-les per serveis assistencials basats en la comunitat.	NOTA: La desinstitucionalització promou l'atenció comunitària a través dels centres de salut mental, els centres sociosanitaris i els hospitals de dia de salut mental i a través de recursos socials i ocupacionals, com a alternativa a l'ingrés perllongat en hospitals psiquiàtrics.
91	detecció precoç	ca	01012021		detecció precoç			detecció precoç		Detecció d'un problema de salut mental durant el període asimptomàtic, que permet aplicar mesures per a intentar modificar-ne la història natural i evitar-ne la progressió.	
92	determinant social de la salut	ca	01012021		determinant social de la salut			determinant social de la salut		Cadascun dels factors socioeconòmics i culturals i de les condicions de vida que influeixen en l'estat de salut d'una persona o una comunitat i en el seu grau de vulnerabilitat en relació amb els problemes de salut.	NOTA: 1. Els determinants socials de la salut se solen representar com una sèrie cercles concèntrics al voltant d'un conjunt de característiques constitutives individuals. En primer lloc hi ha els estils de vida particulars, com el consum de tabac o d'alcohol o l'activitat física. En segon lloc, hi ha la interacció entre les persones i amb l'entorn a través de xarxes socials i comunitàries. En tercer lloc, hi ha les condicions de vida i de treball, l'alimentació i l'accés a béns i serveis fonamentals, com l'educació o els serveis sanitaris. En quart i últim lloc hi ha els factors econòmics, culturals i ambientals, que actuen sobre la resta. NOTA: 2. Els determinants socials de la salut influeixen notablement en la salut mental, pel fet que la salut mental és sensible a les adversitats de la vida o els canvis en les condicions de vida de les persones. NOTA: 3. Els determinants socials de la salut són una de les causes de la bretxa terapèutica, juntament amb les barreres.
93	diagnòstic psiquiàtric	ca	01012021		diagnòstic psiquiàtric			diagnòstic psiquiàtric		Determinació del nom i la naturalesa biopsicosocial del trastorn mental o el problema de salut mental d'una persona per mitjà de l'estudi dels seus símptomes i els seus signes i de la realització d'exploracions complementàries.	NOTA: 1. El diagnòstic psiquiàtric té, com a dificultats afegides respecte a altres formes de diagnòstic mèdic, la impossibilitat d'identificar l'etiologia d'un trastorn mental i l'absència de signes patognomònics o específics de cadascun dels trastorns. NOTA: 2. Els sistemes actuals de classificació dels diagnòstics psiquiàtrics són el Manual diagnòstic i estadístic dels trastorns mentals, conegut amb la sigla DSM (Diagnostic and Statistical Manual of Mental Disorders), de l'Associació Psiquiàtrica Americana (APA), i la Classificació estadística internacional de malalties i problemes relacionats amb la salut , coneguda amb la sigla ICD (International Classification of Diseases), de l'Organització Mundial de la Salut (OMS).
94	dignitat	ca	01012021		dignitat			dignitat		Qualitat moral inherent a totes les persones, per la qual tenen dret a ser respectades, valorades i tractades de manera justa i amb igualtat, sense ser ofeses ni utilitzades.	
95	discapacitat	ca	01012021		discapacitat			discapacitat		Resultat de la interacció entre la deficiència d'una persona i les barreres de l'entorn, que pot limitar o impedir la seva participació plena i efectiva en la societat, en igualtat de condicions que la resta de persones.	NOTA: 1. La discapacitat és una de les conseqüències que poden comportar alguns trastorns mentals. Els trastorns mentals més greus, com l'esquizofrènia, el trastorn bipolar, la depressió major o el trastorn per ús de substàncies, són els que poden generar més discapacitat. NOTA: 2. La discapacitat d'una persona amb un trastorn mental pot evolucionar de manera diferent en funció de factors biològics i psicosocials, de factors relacionats amb la freqüència de les crisis i els tractaments rebuts, i del tipus de resposta de l'entorn. NOTA: 3. En l'actualitat hi ha un moviment molt important en favor dels drets de les persones amb discapacitat, sorgit a partir de la Convenció Internacional sobre els Drets de les Persones amb Discapacitat de l'Organització de les Nacions Unides (Nova York, 2006), que critica la concepció de la discapacitat com un problema mèdic o de rehabilitació en pro d'un enfocament basat en un model social i de dret. NOTA: 4. Són formes de discapacitat la discapacitat funcional, la discapacitat intel·lectual i la discapacitat psicosocial.
96	discapacitat funcional	ca	01012021		discapacitat funcional			discapacitat funcional		Discapacitat física, intel·lectual o sensorial que limita el desenvolupament de les activitats quotidianes d'una persona i, en conseqüència, pot afectar les relacions interpersonals i, en interacció amb les barreres socials, pot dificultar la inclusió comunitària.	
97	discapacitat intel·lectual	ca	01012021		discapacitat intel·lectual			discapacitat intel·lectual		Discapacitat provocada per una deficiència d'una funció cognitiva, que comporta limitacions funcionals des del punt de vista intel·lectual i en relació amb la conducta adaptativa, expressada en les habilitats conceptuals, socials i pràctiques, la qual, en interacció amb les barreres socials, pot dificultar la inclusió comunitària.	
98	discapacitat psicosocial	ca	01012021		discapacitat psicosocial			discapacitat psicosocial		Afectació de les capacitats cognitives, volitives o emocionals d'una persona a causa d'un trastorn mental, que, en interactuar amb les barreres socials, pot dificultar transitòriament o permanentment les activitats quotidianes, les relacions interpersonals i la participació plena de la persona afectada en la vida social.	NOTA: 1. Tot i que no hi ha consens, de vegades es recorre al terme discapacitat psicosocial per a designar una forma de discapacitat en què l'origen de la disfunció que la causa és un trastorn mental, a diferència d'una discapacitat física, sensorial o intel·lectual. NOTA: 2. Són disfuncions que poden derivar en una discapacitat psicosocial alguns trastorns mentals greus, com ara la depressió, el trastorn bipolar i l'esquizofrènia, entre d'altres.
99	discriminació	ca	01012021		discriminació			discriminació		Tracte desfavorable, d'inferioritat o excloent que rep una persona pel fet de tenir una discapacitat, un trastorn mental o un trastorn per ús de substàncies, o per altres circumstàncies de tipus personal o social, que resulta en l'aplicació de distincions i de pràctiques desiguals i arbitràries.	NOTA: La discriminació és una de les causes de l'aïllament social i el patiment mental i una de les barreres que es troben les persones amb un trastorn mental o un trastorn per ús de substàncies en la rehabilitació i la reinserció.
100	document de voluntats anticipades ||| DVA	ca	01012021		document de voluntats anticipades ||| DVA			document de voluntats anticipades	DVA	Document adreçat al conjunt de professionals de la salut en què una persona major d'edat i amb competència exposa anticipadament la seva voluntat pel que fa a l'atenció sanitària o a l'assistència sanitària i psiquiàtrica que voldrà rebre en cas que arribi a una situació en què no pugui expressar la seva voluntat personalment.	NOTA: 1. El document de voluntats anticipades té validesa legal, sempre que les seves disposicions no contradiguin la legislació vigent o la bona pràctica i siguin opcions possibles en el sistema de salut. NOTA: 2. El document de voluntats anticipades pot formar part de la planificació de decisions anticipades.
101	educació social	ca	01012021		educació social			educació social		Disciplina de caràcter pedagògic que aglutina diverses formes i pràctiques professionals de l'educació no formal, la qual té per objectiu contribuir a la millora de la qualitat de vida de les persones, mitjançant la creació de contextos propicis per al desenvolupament personal i social i l'acompanyament de les persones en el seu procés de socialització i d'incorporació social.	
102	educador social | educadora social	ca	01012021		educador social | educadora social			educador social | educadora social		Professional amb formació i competències específiques en educació social que duu a terme intervencions socioeducatives en persones, famílies o col·lectius en situació de vulnerabilitat o en risc d'exclusió social, a més de tasques de prevenció d'aquestes situacions, i dinamitza grups o altres agents de l'entorn comunitari per a la inclusió comunitària de les persones amb un trastorn mental. NOTA: L'educador social o l'educadora social participa en diferents serveis de rehabilitació per a persones amb un trastorn mental greu i actua, també, com a agent de promoció de la salut.	
103	facilitador ||| factor facilitador ||| element facilitador	ca	01012021		facilitador ||| factor facilitador ||| element facilitador			facilitador	factor facilitador ||| element facilitador	Factor ambiental que, quan és present en l'entorn, afavoreix la participació plena i efectiva en la vida social d'una persona amb un trastorn mental o un trastorn per ús de substàncies.	NOTA: 1. Els facilitadors poden ser de diversos tipus. Per exemple, en l'àmbit educatiu es poden considerar facilitadors l'equip d'assessorament i orientació pedagògica i el suport intensiu per a l'escolarització inclusiva; en l'àmbit social, el club social; en l'àmbit comunitari, les xarxes de suport, i en l'àmbit laboral, el treball protegit. NOTA: 2. El concepte de facilitador s'oposa al de barrera.
104	empoderament	ca	01012021		empoderament			empoderament		Procés pel qual una persona amb un trastorn mental o un trastorn per ús de substàncies adquireix els mitjans per a enfortir la seva capacitat de gestionar i promoure la pròpia salut, d'interactuar de manera conscient amb els serveis sanitaris i de participar activament en la rehabilitació i la recuperació.	NOTA: 1. L'empoderament es basa en la potestat d'exercir el dret a prendre decisions a partir de l'accés a la informació, del diàleg i de la possibilitat de tenir opcions per escollir. Es pot veure restringit en els casos en què es nega la capacitat d'obrar. NOTA: 2. L'empoderament augmenta el benestar emocional, reforça la xarxa de suport i facilita la recuperació i la integració social. NOTA: 3. L'empoderament es pot veure afavorit per l'entorn a través de les relacions d'ajuda orientades a les decisions compartides, en la mesura que es basen en el respecte i la igualtat, contràriament a les relacions basades en el paternalisme.
105	enclavament laboral	ca	01012021		enclavament laboral			enclavament laboral		Modalitat de treball protegit en què una persona que treballa en un centre especial de treball es desplaça de manera temporal a una empresa de treball ordinari per dur-hi a terme tasques relacionades amb l'activitat normal de l'empresa, que té per objectiu promoure i facilitar la transició del treball protegit al treball ordinari.	NOTA: L'enclavament laboral pretén que les persones amb discapacitat tinguin contacte amb empreses ordinàries i ampliïn la seva experiència professional per tenir més oportunitats d'accedir al mercat de treball ordinari; que les empreses ordinàries prenguin consciència de les capacitats i les aptituds de les persones amb discapacitat i, eventualment, les incorporin a la plantilla; fomentar el creixement dels centres especials de treball per garantir-hi l'estabilitat laboral, i contribuir que les empreses compleixin la quota de contractació de persones amb discapacitat que estableix la llei.
106	envelliment actiu ||| envelliment saludable	ca	01012021		envelliment actiu ||| envelliment saludable			envelliment actiu	envelliment saludable	Procés d'optimització de les oportunitats de benestar físic, psicològic i social, de participació i de seguretat que es porta a terme en el curs de l'envelliment, amb la finalitat de millorar la qualitat de vida.	NOTA: L'envelliment actiu pot actuar com a factor de protecció.
107	equip d'assessorament i orientació pedagògica ||| EAP	ca	01012021		equip d'assessorament i orientació pedagògica ||| EAP			equip d'assessorament i orientació pedagògica	EAP	Equip multidisciplinari que presta un servei educatiu orientat al suport al personal docent dels centres educatius perquè pugui respondre adequadament a la diversitat de necessitats educatives o de suport d'alumnes en concret que poden sorgir al llarg de la seva escolarització.	NOTA: L'equip d'assessorament i orientació pedagògica pot fer la detecció precoç de problemes de salut mental i trastorns en el desenvolupament psicopedagògic, com el trastorn de l'espectre autista o el trastorn per dèficit d'atenció amb hiperactivitat.
108	terapeuta ocupacional ||| ergoterapeuta	ca	01012021		terapeuta ocupacional ||| ergoterapeuta			terapeuta ocupacional	ergoterapeuta	Professional amb formació i competències específiques en teràpia ocupacional que planifica i executa intervencions orientades a adquirir, conservar o millorar les habilitats relacionades amb el desenvolupament d'activitats de la vida diària que s'han vist deteriorades a causa d'un trastorn mental o un trastorn per ús de substàncies.	NOTA: El terapeuta ocupacional o la terapeuta ocupacional és una figura important en la rehabilitació; per aquest motiu, participa en l'elaboració del programa individual de rehabilitació i reinserció. Pot ajudar a entrenar habilitats motores (com la coordinació o l'equilibri), psicosocials (com la comunicació verbal, l'autoestima o la responsabilitat), cognitives (com la capacitat d'atenció o la comprensió) i relacionades amb la vida diària (com l'organització d'hàbits i rutines o la recerca d'activitats de lleure). Algunes de les seves intervencions, especialment d'assessorament, poden anar dirigides a l'entorn de la persona atesa.
109	estigma	ca	01012021		estigma			estigma		Conjunt d'atributs que provoca una visió negativa de les persones amb un trastorn mental, motivada pels estereotips, els mites, els prejudicis i el desconeixement de la societat entorn dels trastorns mentals i els problemes de salut mental en general, el qual porta a situacions de discriminació, marginació i exclusió social.	NOTA: 1. L'estigma provoca en les persones amb un trastorn mental o un trastorn per ús de substàncies avergonyiment i sentiments de menyspreu i de rebuig social. També les predisposa a una mirada negativa, els fa minvar l'autoestima, els dificulta el procés de canvi cap a la recuperació i els afecta negativament l'estat de salut, tant mental com física. NOTA: 2. L'estigma causa aïllament social i constitueix una de les barreres d'accés principals. Pot augmentar per l'ús inapropiat d'etiquetes diagnòstiques o per la manca d'adherència al tractament, per exemple.
110	estigmatització	ca	01012021		estigmatització			estigmatització		Procés social pel qual es genera l'estigma, caracteritzat per l'atribució de qualitats negatives a les persones amb un trastorn mental i basat en actituds i conductes negatives i de rebuig social.	NOTA: L'estigmatització suposa un obstacle per a la integració social de les persones amb un trastorn mental o un trastorn per ús de substàncies.
111	estrès psicosocial	ca	01012021		estrès psicosocial			estrès psicosocial		Conjunt de situacions psíquiques i socials que demanen una resposta que amenaça d'excedir els recursos d'una persona.	NOTA: L'estrès psicosocial pot contribuir al desenvolupament o l'agreujament d'un trastorn mental o un trastorn per ús de substàncies.
112	exclusió social	ca	01012021		exclusió social			exclusió social		Situació resultant del rebuig social i la marginació, que impedeix la participació plena en la societat, l'accés a les oportunitats socioculturals, econòmiques i laborals de què gaudeix la major part de la ciutadania i el gaudi dels mateixos drets, amb la davallada consegüent de la qualitat de vida.	NOTA: 1. L'exclusió social pot ser, també, el resultat de l'autoestigma d'una persona amb un trastorn mental greu o un trastorn per ús de substàncies, sumat a altres factors, com la pobresa o l'adversitat social. NOTA: 2. És un exemple d'exclusió social el sensellarisme causat per un trastorn per ús de substàncies o un trastorn mental psicòtic. NOTA: 3. L'exclusió social és una de les barreres que es troben les persones amb un trastorn mental o un trastorn per ús de substàncies en la rehabilitació i la reinserció.
113	factor afavoridor	ca	01012021		factor afavoridor			factor afavoridor		Factor que facilita la manifestació o la recuperació d'un trastorn mental o un trastorn per ús de substàncies.	NOTA: Un factor afavoridor pot ser la manca o la presència d'una xarxa de suport.
114	factor d'estrès ||| estressor	ca	01012021		factor d'estrès ||| estressor			factor d'estrès	estressor	Esdeveniment vital que pot estar associat en el temps amb l'aparició o l'exacerbació d'un trastorn mental o d'un trastorn per ús de substàncies.	
115	factor de protecció	ca	01012021		factor de protecció			factor de protecció		Factor que al llarg del temps pot fer disminuir la probabilitat d'una persona de desenvolupar un trastorn mental o un trastorn per ús de substàncies i reduir l'impacte dels factors de risc.	NOTA: 1. Els factors de protecció poden ser biològics, psicològics, socials, econòmics o ambientals i convé fomentar-los com a instrument de promoció de la salut. NOTA: 2. Són exemples de factors de protecció l'autoestima, quan és positiva; la criança positiva; el desenvolupament psicosocial, quan és òptim; l'envelliment actiu, la resiliència, el suport social o, en general, un estil de vida saludable.
116	factor de risc	ca	01012021		factor de risc			factor de risc		Factor que al llarg del temps pot fer augmentar la probabilitat d'una persona de desenvolupar un trastorn mental o un trastorn per ús de substàncies.	NOTA: 1. Els factors de risc poden ser biològics, psicològics, socials, econòmics o ambientals. NOTA: 2. Els factors de risc poden tenir un impacte més moderat si hi ha present algun factor de protecció. NOTA: 3. Són exemples de factors de risc el consum d'alcohol o drogues, el fet de tenir una malaltia crònica, l'assetjament escolar, la pobresa, l'atur, la inseguretat i l'estrès laboral, la soledat, els conflictes i la violència en l'àmbit familiar o la desigualtat social.
117	factor desencadenant ||| factor precipitant	ca	01012021		factor desencadenant ||| factor precipitant			factor desencadenant	factor precipitant	Factor que dona lloc a l'aparició d'un trastorn mental o un trastorn per ús de substàncies.	NOTA: Un factor desencadenant, per exemple, d'una síndrome psicòtica, en forma d'idees delirants o al·lucinacions, pot ser el consum de cocaïna. Una altra mostra de factors desencadenants poden ser, en el cas dels trastorns de la conducta alimentària, la insatisfacció amb el cos, la preocupació pel pes o una autoestima baixa. De tota manera, cal tenir en compte que la vulnerabilitat a alguns trastorns mentals és congènita.
118	factor mantenidor ||| factor potenciador	ca	01012021		factor mantenidor ||| factor potenciador			factor mantenidor	factor potenciador	Factor que tendeix a perpetuar la presència d'un trastorn mental o un trastorn per ús de substàncies o a agreujar-ne el desenvolupament.	NOTA: Un factor mantenidor pot ser el sensellarisme, ja que limita les condicions necessàries per a estabilitzar un problema de salut mental.
119	factor predisposant	ca	01012021		factor predisposant			factor predisposant		Factor previ a l'inici d'un trastorn mental o un trastorn per ús de substàncies que fa augmentar la vulnerabilitat d'una persona i les possibilitats que un factor desencadenant origini el trastorn mental o el trastorn per ús de substàncies.	NOTA: Un factor predisposant pot ser, per exemple, un trauma en la infantesa. També ho pot ser la vulnerabilitat congènita.
120	funcionament social ||| funcionalitat	ca	01012021		funcionament social ||| funcionalitat			funcionament social	funcionalitat	Capacitat d'una persona de relacionar-se amb altres individus, tenir un rol en la societat i participar-hi, assolir objectius, cuidar-se, gaudir del temps lliure i viure d'acord amb unes conductes i uns models socialment establerts de manera adaptativa, que engloba habilitats cognitives, emocionals i lingüístiques i depèn de les circumstàncies personals i de factors ambientals	NOTA: 1. El funcionament social sovint es veu limitat a causa d'un trastorn mental o una addicció, com a resultat de la interacció entre les dificultats que tenen les persones afectades a causa del trastorn i una resposta social negativa. NOTA: 2. Les limitacions en el funcionament social es manifesten en les activitats de la vida diària (dificultats per relacionar-se, amb tendència a l'aïllament social i a una poca cura de la salut), en la necessitat de suport familiar, en el control de la conducta davant de situacions adverses o de molt estrès, en la capacitat de realitzar un treball ordinari sense suport, en l'accés als serveis sanitaris, socials i altres serveis, i en la gestió de l'oci i el temps lliure.
121	fundació tutelar ||| entitat tutelar	ca	01012021		fundació tutelar ||| entitat tutelar			fundació tutelar	entitat tutelar	Persona jurídica sense ànim de lucre en qui pot recaure l'exercici de la tutela o la curatela, especialment quan no hi ha cap persona que la pugui exercir.	NOTA: 1. La fundació tutelar té definits en la sentència de modificació de la capacitat els àmbits en què pot intervenir, per exemple la salut o l'administració patrimonial, i l'abast de les seves intervencions, que pot ser total o parcial, és a dir, pot substituir o bé complementar la capacitat d'obrar de la persona amb discapacitat. NOTA: 2. La fundació tutelar també pot facilitar altres figures de suport i protecció de la capacitat d'obrar, com ara l'assistència o el patrimoni protegit.
122	gestió de casos	ca	01012021		gestió de casos			gestió de casos		Pràctica assistencial avançada consistent a planificar i executar un pla d'atenció individualitzat, basada en la coordinació entre organitzacions i professionals, amb l'objectiu de donar resposta a les necessitats socials o de salut de les persones o del seu entorn.	NOTA: 1. La gestió de casos té per objectiu garantir la continuïtat assistencial en persones amb problemes de salut crònics i dependència, a través de l'acostament dels serveis al seu entorn i d'una atenció integral, a més de reduir la institucionalització, amb un ús òptim dels recursos. NOTA: 2. La gestió de casos és especialment rellevant en l'àmbit de la salut mental per a evitar el risc que les persones amb trastorns mentals greus es desvinculin dels serveis assistencials. NOTA: 3. Una modalitat específica de gestió de casos és el pla de suport individualitzat.
123	gestor de casos | gestora de casos	ca	01012021		gestor de casos | gestora de casos			gestor de casos | gestora de casos		Professional de l'àmbit sanitari amb formació i competències específiques en gestió de casos que coordina els diversos serveis mèdics i socials que necessita una persona en cada moment segons el seu pla terapèutic.	
124	grup d'ajuda mútua ||| grup d'autoajuda ||| GAM	ca	01012021		grup d'ajuda mútua ||| grup d'autoajuda ||| GAM			grup d'ajuda mútua	grup d'autoajuda ||| GAM	Grup de persones que viuen una mateixa situació de salut, que es reuneixen en sessions programades i autogestionades, basades en el suport entre iguals, amb l'objectiu de millorar la seva situació psicosocial i emocional mitjançant el diàleg, la posada en comú d'experiències i vivències i la confrontació d'actituds i opinions.	NOTA: Els grups d'ajuda mútua entre persones amb un trastorn mental o entre familiars permeten desenvolupar estratègies d'empoderament i contribueixen a lluitar contra l'estigma i a construir, refer o consolidar la xarxa de suport.
