ALELEX_ID	ALELEX_DESC	IDIOMA	DATA_INI	DATA_FIN	DESC_CA	DESC_ES	DESC_EN	F_PRINCIPAL	F_COMPLEMENT
	al·lèrgia a la cetirizina	ca	01012021					al·lèrgia a la cetirizina	
	al·lèrgia a la cetrimida	ca	01012021					al·lèrgia a la cetrimida	
	al·lèrgia a la cianocobalamina ||| al·lèrgia a la vitamina B??	ca	01012021					al·lèrgia a la cianocobalamina 	al·lèrgia a la vitamina B??
	al·lèrgia a la ciclacil·lina	ca	01012021					al·lèrgia a la ciclacil·lina	
	al·lèrgia a la ciclizina	ca	01012021					al·lèrgia a la ciclizina	
	al·lèrgia a la ciclofosfamida	ca	01012021					al·lèrgia a la ciclofosfamida	
	al·lèrgia a la ciclopentiazida	ca	01012021					al·lèrgia a la ciclopentiazida	
	al·lèrgia a la cicloserina	ca	01012021					al·lèrgia a la cicloserina	
	al·lèrgia a la ciclosporina	ca	01012021					al·lèrgia a la ciclosporina	
	al·lèrgia a la cimetidina	ca	01012021					al·lèrgia a la cimetidina	
	al·lèrgia a la cincocaïna	ca	01012021					al·lèrgia a la cincocaïna	
	al·lèrgia a la cinnarizina	ca	01012021					al·lèrgia a la cinnarizina	
	al·lèrgia a la ciprofloxacina	ca	01012021					al·lèrgia a la ciprofloxacina	
	al·lèrgia a la ciproheptadina	ca	01012021					al·lèrgia a la ciproheptadina	
	al·lèrgia a la ciproterona	ca	01012021					al·lèrgia a la ciproterona	
	al·lèrgia a la cirera||| al·lèrgia al fruit del cirer (Prunus avium)||| al·lèrgia al fruit del cirerer (Prunus avium)	ca	01012021					al·lèrgia a la cirera	al·lèrgia al fruit del cirer (Prunus avium)||| al·lèrgia al fruit del cirerer (Prunus avium)
	al·lèrgia a la cisaprida	ca	01012021					al·lèrgia a la cisaprida	
	"al·lèrgia a la civada ||| al·lèrgia a l'avena


||| al·lèrgia a l'avena (Avena sativa)|||  al·lèrgia a la civada (Avena sativa)|||  al·lèrgia al gra de l'avena (Avena sativa)||| al·lèrgia al gra de la civada (Avena sativa)"	ca	01012021					al·lèrgia a la civada 	"al·lèrgia a l'avena


||| al·lèrgia a l'avena (Avena sativa)|||  al·lèrgia a la civada (Avena sativa)|||  al·lèrgia al gra de l'avena (Avena sativa)||| al·lèrgia al gra de la civada (Avena sativa)"
	al·lèrgia a la clara d'ou	ca	01012021					al·lèrgia a la clara d'ou	
	al·lèrgia a la claritromicina	ca	01012021					al·lèrgia a la claritromicina	
	al·lèrgia a la clemastina	ca	01012021					al·lèrgia a la clemastina	
	al·lèrgia a la clindamicina	ca	01012021					al·lèrgia a la clindamicina	
	al·lèrgia a la clobetasona	ca	01012021					al·lèrgia a la clobetasona	
	al·lèrgia a la clofazimina ||| al·lèrgia a la riminofenacina	ca	01012021					al·lèrgia a la clofazimina 	al·lèrgia a la riminofenacina
	al·lèrgia a la cloïssa (Tapes decussatus) ||| al·lèrgia al grúmol (Tapes decussatus)	ca	01012021					al·lèrgia a la cloïssa (Tapes decussatus) 	al·lèrgia al grúmol (Tapes decussatus)
	al·lèrgia a la clomipramina ||| al·lèrgia a la clorimipramina	ca	01012021					al·lèrgia a la clomipramina 	al·lèrgia a la clorimipramina
	al·lèrgia a la clomociclina sòdica	ca	01012021					al·lèrgia a la clomociclina sòdica	
	al·lèrgia a la clonidina	ca	01012021					al·lèrgia a la clonidina	
	al·lèrgia a la cloramina T	ca	01012021					al·lèrgia a la cloramina T	
	"
al·lèrgia a la clorfenamina ||| al·lèrgia a la clorfeniramina ||| al·lèrgia a la clorofenamina ||| al·lèrgia a la clorprofenpiridamina"	ca	01012021					"
al·lèrgia a la clorfenamina "	al·lèrgia a la clorfeniramina ||| al·lèrgia a la clorofenamina ||| al·lèrgia a la clorprofenpiridamina
	al·lèrgia a la clorhexidina	ca	01012021					al·lèrgia a la clorhexidina	
	"al·lèrgia a la clormetina||| al·lèrgia a la mecloretamina


||| al·lèrgia a la mostassa nitrogenada"	ca	01012021					al·lèrgia a la clormetina	"al·lèrgia a la mecloretamina


||| al·lèrgia a la mostassa nitrogenada"
	al·lèrgia a la clormezanona	ca	01012021					al·lèrgia a la clormezanona	
	al·lèrgia a la cloroprocaïna	ca	01012021					al·lèrgia a la cloroprocaïna	
	al·lèrgia a la cloroquina	ca	01012021					al·lèrgia a la cloroquina	
	al·lèrgia a la clorotiazida	ca	01012021					al·lèrgia a la clorotiazida	
	al·lèrgia a la clorpromazina||| al·lèrgia a la cloropromazina	ca	01012021					al·lèrgia a la clorpromazina	al·lèrgia a la cloropromazina
	al·lèrgia a la clorpropamida	ca	01012021					al·lèrgia a la clorpropamida	
	al·lèrgia a la clortalidona	ca	01012021					al·lèrgia a la clortalidona	
	al·lèrgia a la clortetraciclina	ca	01012021					al·lèrgia a la clortetraciclina	
	al·lèrgia a la cloxacil·lina	ca	01012021					al·lèrgia a la cloxacil·lina	
	al·lèrgia a la clozapina	ca	01012021					al·lèrgia a la clozapina	
	al·lèrgia a la cocaïna ||| al·lèrgia a l'eritroxilina	ca	01012021					al·lèrgia a la cocaïna 	al·lèrgia a l'eritroxilina
	al·lèrgia a la codeïna ||| al·lèrgia a la metilmorfina	ca	01012021					al·lèrgia a la codeïna 	al·lèrgia a la metilmorfina
	al·lèrgia a la col (Brassica oleracea)	ca	01012021					al·lèrgia a la col (Brassica oleracea)	
	al·lèrgia a la col de Brussel·les (Brassica oleracea var. gemmifera)	ca	01012021					al·lèrgia a la col de Brussel·les (Brassica oleracea var. gemmifera)	
	al·lèrgia a la colestiramina	ca	01012021					al·lèrgia a la colestiramina	
	al·lèrgia a la colistina	ca	01012021					al·lèrgia a la colistina	
	al·lèrgia a la colquicina	ca	01012021					al·lèrgia a la colquicina	
	al·lèrgia a la colza (Brassica rapa L. subsp. oleifera)	ca	01012021					al·lèrgia a la colza (Brassica rapa L. subsp. oleifera)	
	al·lèrgia a la corticotropina ||| al·lèrgia a l'ACTH||| al·lèrgia a l'hormona adrenocorticòtropa ||| al·lèrgia a l'hormona adrenocorticotròpica	ca	01012021					al·lèrgia a la corticotropina 	al·lèrgia a l'ACTH||| al·lèrgia a l'hormona adrenocorticòtropa ||| al·lèrgia a l'hormona adrenocorticotròpica
	al·lèrgia a la cortisona	ca	01012021					al·lèrgia a la cortisona	
	al·lèrgia a la crema de ditranol	ca	01012021					al·lèrgia a la crema de ditranol	
	al·lèrgia a la criptomèria (Cryptomeria japonica)	ca	01012021					al·lèrgia a la criptomèria (Cryptomeria japonica)	
	al·lèrgia a la cua de rata (Phleum pratense)	ca	01012021					al·lèrgia a la cua de rata (Phleum pratense)	
	al·lèrgia a la dacarbazina	ca	01012021					al·lèrgia a la dacarbazina	
	al·lèrgia a la dactinomicina ||| al·lèrgia a l'actinomicina D	ca	01012021					al·lèrgia a la dactinomicina 	al·lèrgia a l'actinomicina D
	al·lèrgia a la dalteparina	ca	01012021					al·lèrgia a la dalteparina	
	al·lèrgia a la dapsona	ca	01012021					al·lèrgia a la dapsona	
	al·lèrgia a la debrisoquina	ca	01012021					al·lèrgia a la debrisoquina	
	al·lèrgia a la demeclociclina||| al·lèrgia a la desmetilclorotetraciclina	ca	01012021					al·lèrgia a la demeclociclina	al·lèrgia a la desmetilclorotetraciclina
	al·lèrgia a la dent de lleó (Taraxacum campylodes)||| al·lèrgia a l'apagallums (Taraxacum campylodes)   ||| al·lèrgia al pixacà (Taraxacum campylodes)||| al·lèrgia al pixallits (Taraxacum campylodes)||| al·lèrgia als angelets (Taraxacum campylodes)||| al·lèrgia als queixals de vella (Taraxacum campylodes)	ca	01012021					al·lèrgia a la dent de lleó (Taraxacum campylodes)	al·lèrgia a l'apagallums (Taraxacum campylodes)   ||| al·lèrgia al pixacà (Taraxacum campylodes)||| al·lèrgia al pixallits (Taraxacum campylodes)||| al·lèrgia als angelets (Taraxacum campylodes)||| al·lèrgia als queixals de vella (Taraxacum campylodes)
	al·lèrgia a la desferroxamina	ca	01012021					al·lèrgia a la desferroxamina	
	al·lèrgia a la desipramina	ca	01012021					al·lèrgia a la desipramina	
	al·lèrgia a la desmopressina	ca	01012021					al·lèrgia a la desmopressina	
	al·lèrgia a la desonida	ca	01012021					al·lèrgia a la desonida	
	al·lèrgia a la desoximetasona	ca	01012021					al·lèrgia a la desoximetasona	
	al·lèrgia a la desoxiribonucleasa	ca	01012021					al·lèrgia a la desoxiribonucleasa	
	al·lèrgia a la dexametasona	ca	01012021					al·lèrgia a la dexametasona	
	al·lèrgia a la dexametasona per via tòpica	ca	01012021					al·lèrgia a la dexametasona per via tòpica	
	al·lèrgia a la dexamfetamina ||| al·lèrgia a la dextroamfetamina	ca	01012021					al·lèrgia a la dexamfetamina 	al·lèrgia a la dextroamfetamina
	al·lèrgia a la dexfenfluramina	ca	01012021					al·lèrgia a la dexfenfluramina	
	al·lèrgia a la dextromoramida	ca	01012021					al·lèrgia a la dextromoramida	
	al·lèrgia a la dextrotiroxina sòdica	ca	01012021					al·lèrgia a la dextrotiroxina sòdica	
	al·lèrgia a la diamorfina ||| al·lèrgia a l'heroïna||| al·lèrgia a la diacetilmorfina	ca	01012021					al·lèrgia a la diamorfina 	al·lèrgia a l'heroïna||| al·lèrgia a la diacetilmorfina
	al·lèrgia a la dicicloverina ||| al·lèrgia a la diciclomina	ca	01012021					al·lèrgia a la dicicloverina 	al·lèrgia a la diciclomina
	al·lèrgia a la diclofenamida	ca	01012021					al·lèrgia a la diclofenamida	
	al·lèrgia a la dicloralfenazona	ca	01012021					al·lèrgia a la dicloralfenazona	
	al·lèrgia a la didanosina	ca	01012021					al·lèrgia a la didanosina	
	al·lèrgia a la didrogesterona	ca	01012021					al·lèrgia a la didrogesterona	
	al·lèrgia a la dietilcarbamazina	ca	01012021					al·lèrgia a la dietilcarbamazina	
	al·lèrgia a la difenhidramina	ca	01012021					al·lèrgia a la difenhidramina	
	al·lèrgia a la difenilpiralina	ca	01012021					al·lèrgia a la difenilpiralina	
	al·lèrgia a la diflucortolona	ca	01012021					al·lèrgia a la diflucortolona	
	al·lèrgia a la digitoxina	ca	01012021					al·lèrgia a la digitoxina	
	al·lèrgia a la digoxina	ca	01012021					al·lèrgia a la digoxina	
	al·lèrgia a la dihidrocodeïna	ca	01012021					al·lèrgia a la dihidrocodeïna	
	al·lèrgia a la dihidroergotoxina	ca	01012021					al·lèrgia a la dihidroergotoxina	
	al·lèrgia a la diloxanida	ca	01012021					al·lèrgia a la diloxanida	
	al·lèrgia a la dimeticona	ca	01012021					al·lèrgia a la dimeticona	
	al·lèrgia a la dinoprostona	ca	01012021					al·lèrgia a la dinoprostona	
	al·lèrgia a la dipipanona	ca	01012021					al·lèrgia a la dipipanona	
	al·lèrgia a la dipivefrina	ca	01012021					al·lèrgia a la dipivefrina	
	al·lèrgia a la disopiramida	ca	01012021					al·lèrgia a la disopiramida	
	al·lèrgia a la distigmina	ca	01012021					al·lèrgia a la distigmina	
	al·lèrgia a la dobutamina	ca	01012021					al·lèrgia a la dobutamina	
	al·lèrgia a la domperidona	ca	01012021					al·lèrgia a la domperidona	
	al·lèrgia a la dopamina	ca	01012021					al·lèrgia a la dopamina	
	al·lèrgia a la dopexamina	ca	01012021					al·lèrgia a la dopexamina	
	al·lèrgia a la dornasa alfa	ca	01012021					al·lèrgia a la dornasa alfa	
	al·lèrgia a la dosulepina	ca	01012021					al·lèrgia a la dosulepina	
	al·lèrgia a la doxazosina	ca	01012021					al·lèrgia a la doxazosina	
	al·lèrgia a la doxepina	ca	01012021					al·lèrgia a la doxepina	
	al·lèrgia a la doxiciclina	ca	01012021					al·lèrgia a la doxiciclina	
	al·lèrgia a la doxorubicina ||| al·lèrgia a l'adriamicina	ca	01012021					al·lèrgia a la doxorubicina 	al·lèrgia a l'adriamicina
	al·lèrgia a la falsa ambròsia (Ambrosia acanthicarpa)||| al·lèrgia a la falsa ambròsia (Franseria acanthicarpa)	ca	01012021					al·lèrgia a la falsa ambròsia (Ambrosia acanthicarpa)	al·lèrgia a la falsa ambròsia (Franseria acanthicarpa)
	al·lèrgia a la famotidina	ca	01012021					al·lèrgia a la famotidina	
	al·lèrgia a la farigola (Thymus vulgaris) ||| al·lèrgia a la senyorida (Thymus vulgaris) ||| al·lèrgia al tem (Thymus vulgaris)||| al·lèrgia al timó (Thymus vulgaris)||| al·lèrgia al timonet (Thymus vulgaris)||| al·lèrgia al tomell (Thymus vulgaris)	ca	01012021					al·lèrgia a la farigola (Thymus vulgaris) 	al·lèrgia a la senyorida (Thymus vulgaris) ||| al·lèrgia al tem (Thymus vulgaris)||| al·lèrgia al timó (Thymus vulgaris)||| al·lèrgia al timonet (Thymus vulgaris)||| al·lèrgia al tomell (Thymus vulgaris)
	al·lèrgia a la farina	ca	01012021					al·lèrgia a la farina	
	al·lèrgia a la farina de blat	ca	01012021					al·lèrgia a la farina de blat	
	al·lèrgia a la farina de sègol	ca	01012021					al·lèrgia a la farina de sègol	
	al·lèrgia a la farina de soia ||| al·lèrgia a la farina de soja	ca	01012021					al·lèrgia a la farina de soia 	al·lèrgia a la farina de soja
	al·lèrgia a la favera (Vicia faba)||| al·lèrgia a la fava (Vicia faba)	ca	01012021					al·lèrgia a la favera (Vicia faba)	al·lèrgia a la fava (Vicia faba)
	al·lèrgia a la felodipina	ca	01012021					al·lèrgia a la felodipina	
	al·lèrgia a la femta d'ocell ||| al·lèrgia a l'evacuació d'ocell  ||| al·lèrgia a les dejeccions d'ocell||| al·lèrgia als excrements d'ocell	ca	01012021					al·lèrgia a la femta d'ocell 	al·lèrgia a l'evacuació d'ocell  ||| al·lèrgia a les dejeccions d'ocell||| al·lèrgia als excrements d'ocell
	al·lèrgia a la femta de canari ||| al·lèrgia a l'evacuació de canari   ||| al·lèrgia a les dejeccions de canari||| al·lèrgia als excrements de canari	ca	01012021					al·lèrgia a la femta de canari 	al·lèrgia a l'evacuació de canari   ||| al·lèrgia a les dejeccions de canari||| al·lèrgia als excrements de canari
	al·lèrgia a la femta de colom ||| al·lèrgia a l'evacuació de colom |||  al·lèrgia a les dejeccions de colom||| al·lèrgia als excrements de colom	ca	01012021					al·lèrgia a la femta de colom 	al·lèrgia a l'evacuació de colom |||  al·lèrgia a les dejeccions de colom||| al·lèrgia als excrements de colom
	al·lèrgia a la femta de periquito ||| al·lèrgia a l'evacuació de periquito  ||| al·lèrgia a les dejeccions de periquito||| al·lèrgia als excrements de periquito	ca	01012021					al·lèrgia a la femta de periquito 	al·lèrgia a l'evacuació de periquito  ||| al·lèrgia a les dejeccions de periquito||| al·lèrgia als excrements de periquito
	al·lèrgia a la femta de pollastre||| al·lèrgia a l'evacuació de pollastre  ||| al·lèrgia a les dejeccions de pollastre||| al·lèrgia als excrements de pollastre	ca	01012021					al·lèrgia a la femta de pollastre	al·lèrgia a l'evacuació de pollastre  ||| al·lèrgia a les dejeccions de pollastre||| al·lèrgia als excrements de pollastre
	al·lèrgia a la fenazocina	ca	01012021					al·lèrgia a la fenazocina	
	al·lèrgia a la fenelzina	ca	01012021					al·lèrgia a la fenelzina	
	al·lèrgia a la feneticil·lina	ca	01012021					al·lèrgia a la feneticil·lina	
	al·lèrgia a la fenfluramina	ca	01012021					al·lèrgia a la fenfluramina	
	al·lèrgia a la fenilbutazona	ca	01012021					al·lèrgia a la fenilbutazona	
	al·lèrgia a la fenilefrina	ca	01012021					al·lèrgia a la fenilefrina	
	al·lèrgia a la fenindamina	ca	01012021					al·lèrgia a la fenindamina	
	al·lèrgia a la fenindiona	ca	01012021					al·lèrgia a la fenindiona	
	al·lèrgia a la feniramina	ca	01012021					al·lèrgia a la feniramina	
	al·lèrgia a la fenitoïna ||| al·lèrgia a la difenilhidantoïna	ca	01012021					al·lèrgia a la fenitoïna 	al·lèrgia a la difenilhidantoïna
	al·lèrgia a la fenoperidina	ca	01012021					al·lèrgia a la fenoperidina	
	al·lèrgia a la fenotiazina	ca	01012021					al·lèrgia a la fenotiazina	
	al·lèrgia a la fenotrina	ca	01012021					al·lèrgia a la fenotrina	
	al·lèrgia a la fenoxibenzamina	ca	01012021					al·lèrgia a la fenoxibenzamina	
	al·lèrgia a la fenoximetilpenicil·lina ||| al·lèrgia a la penicil·lina V	ca	01012021					al·lèrgia a la fenoximetilpenicil·lina 	al·lèrgia a la penicil·lina V
	al·lèrgia a la fentermina	ca	01012021					al·lèrgia a la fentermina	
	al·lèrgia a la fentolamina	ca	01012021					al·lèrgia a la fentolamina	
	al·lèrgia a la festuca de prat (Festuca pratensis)	ca	01012021					al·lèrgia a la festuca de prat (Festuca pratensis)	
	al·lèrgia a la fibra de cotó	ca	01012021					al·lèrgia a la fibra de cotó	
	al·lèrgia a la figa||| al·lèrgia al fruit de la figuera (Ficus carica)	ca	01012021					al·lèrgia a la figa	al·lèrgia al fruit de la figuera (Ficus carica)
	al·lèrgia a la finasterida	ca	01012021					al·lèrgia a la finasterida	
	al·lèrgia a la fisostigmina 	ca	01012021					al·lèrgia a la fisostigmina 	
	al·lèrgia a l'eserina	ca	01012021					al·lèrgia a l'eserina	
	al·lèrgia a la fitoteràpia||| al·lèrgia a les plantes medicinals ||| al·lèrgia als medicaments fitoterapèutics ||| al·lèrgia als productes fitoterapèutics	ca	01012021					al·lèrgia a la fitoteràpia	al·lèrgia a les plantes medicinals ||| al·lèrgia als medicaments fitoterapèutics ||| al·lèrgia als productes fitoterapèutics
	al·lèrgia a la flecaïnida	ca	01012021					al·lèrgia a la flecaïnida	
	al·lèrgia a la floridura ||| al·lèrgia al florit	ca	01012021					al·lèrgia a la floridura 	al·lèrgia al florit
	al·lèrgia a la floridura negra (Rhizopus nigricans)	ca	01012021					al·lèrgia a la floridura negra (Rhizopus nigricans)	
	al·lèrgia a la flucitosina ||| al·lèrgia a la fluorocitosina	ca	01012021					al·lèrgia a la flucitosina 	al·lèrgia a la fluorocitosina
	al·lèrgia a la fluclorolona	ca	01012021					al·lèrgia a la fluclorolona	
	al·lèrgia a la flucloxacil·lina ||| al·lèrgia a la floxacil·lina	ca	01012021					al·lèrgia a la flucloxacil·lina 	al·lèrgia a la floxacil·lina
	al·lèrgia a la fludarabina	ca	01012021					al·lèrgia a la fludarabina	
	al·lèrgia a la fludrocortisona	ca	01012021					al·lèrgia a la fludrocortisona	
	al·lèrgia a la fludroxicortida	ca	01012021					al·lèrgia a la fludroxicortida	
	al·lèrgia a la flufenazina	ca	01012021					al·lèrgia a la flufenazina	
	al·lèrgia a la flunisolida	ca	01012021					al·lèrgia a la flunisolida	
	al·lèrgia a la fluocinonida	ca	01012021					al·lèrgia a la fluocinonida	
	al·lèrgia a la fluocortolona	ca	01012021					al·lèrgia a la fluocortolona	
	al·lèrgia a la fluorometolona	ca	01012021					al·lèrgia a la fluorometolona	
	al·lèrgia a la fluoxetina	ca	01012021					al·lèrgia a la fluoxetina	
	al·lèrgia a la flutamida	ca	01012021					al·lèrgia a la flutamida	
	al·lèrgia a la fluticasona	ca	01012021					al·lèrgia a la fluticasona	
	al·lèrgia a la fluvastatina	ca	01012021					al·lèrgia a la fluvastatina	
	al·lèrgia a la fluvoxamina	ca	01012021					al·lèrgia a la fluvoxamina	
	al·lèrgia a la folcodina ||| al·lèrgia a l'homocodeïna	ca	01012021					al·lèrgia a la folcodina 	al·lèrgia a l'homocodeïna
	al·lèrgia a la formiga de foc roja (Solenopsis invicta)	ca	01012021					al·lèrgia a la formiga de foc roja (Solenopsis invicta)	
	al·lèrgia a la fosfolipasa	ca	01012021					al·lèrgia a la fosfolipasa	
	al·lèrgia a la fosfomicina	ca	01012021					al·lèrgia a la fosfomicina	
	al·lèrgia a la fracció fosfolipídica	ca	01012021					al·lèrgia a la fracció fosfolipídica	
	al·lèrgia a la framicetina	ca	01012021					al·lèrgia a la framicetina	
	al·lèrgia a la fruita	ca	01012021					al·lèrgia a la fruita	
	al·lèrgia a la fruita de closca ||| al·lèrgia a la fruita seca de closca	ca	01012021					al·lèrgia a la fruita de closca 	al·lèrgia a la fruita seca de closca
	"al·lèrgia a la fruita de la passió ||| al·lèrgia a la granadilla

||| al·lèrgia al fruit de la passionera (Passiflora edulis) ||| al·lèrgia al maracujà"	ca	01012021					al·lèrgia a la fruita de la passió 	"al·lèrgia a la granadilla

||| al·lèrgia al fruit de la passionera (Passiflora edulis) ||| al·lèrgia al maracujà"
	al·lèrgia a la furosemida	ca	01012021					al·lèrgia a la furosemida	
	al·lèrgia a la fusta	ca	01012021					al·lèrgia a la fusta	
	al·lèrgia a la gabapentina	ca	01012021					al·lèrgia a la gabapentina	
	al·lèrgia a la gal·lamina	ca	01012021					al·lèrgia a la gal·lamina	
	al·lèrgia a la gamba (Aristeus antennatus)	ca	01012021					al·lèrgia a la gamba (Aristeus antennatus)	
	al·lèrgia a la gasa||| al·lèrgia a la gasa hidròfila	ca	01012021					al·lèrgia a la gasa	al·lèrgia a la gasa hidròfila
	al·lèrgia a la gasa impregnada amb pasta de iodoform i subnitrat de bismut	ca	01012021					al·lèrgia a la gasa impregnada amb pasta de iodoform i subnitrat de bismut	
	al·lèrgia a la gelatina	ca	01012021					al·lèrgia a la gelatina	
	al·lèrgia a la gentamicina	ca	01012021					al·lèrgia a la gentamicina	
	al·lèrgia a la gestonorona	ca	01012021					al·lèrgia a la gestonorona	
	al·lèrgia a la gestrinona	ca	01012021					al·lèrgia a la gestrinona	
	al·lèrgia a la glibenclamida	ca	01012021					al·lèrgia a la glibenclamida	
	al·lèrgia a la glibornurida	ca	01012021					al·lèrgia a la glibornurida	
	al·lèrgia a la glicina||| al·lèrgia a l'àcid aminoacètic	ca	01012021					al·lèrgia a la glicina	al·lèrgia a l'àcid aminoacètic
	al·lèrgia a la gliclazida	ca	01012021					al·lèrgia a la gliclazida	
	al·lèrgia a la glimidina	ca	01012021					al·lèrgia a la glimidina	
	al·lèrgia a la glipizida	ca	01012021					al·lèrgia a la glipizida	
	al·lèrgia a la gliquidona	ca	01012021					al·lèrgia a la gliquidona	
	al·lèrgia a la goma aràbiga	ca	01012021					al·lèrgia a la goma aràbiga	
	al·lèrgia a la goma de guar	ca	01012021					al·lèrgia a la goma de guar	
	al·lèrgia a la gonadorelina	ca	01012021					al·lèrgia a la gonadorelina	
	"al·lèrgia a la gonadotropina ||| al·lèrgia a l'hormona gonadòtropa  

||| al·lèrgia a l'hormona gonadotròpica||| al·lèrgia a la gonadotrofina||| al·lèrgia a la GTH"	ca	01012021					al·lèrgia a la gonadotropina 	"al·lèrgia a l'hormona gonadòtropa  

||| al·lèrgia a l'hormona gonadotròpica||| al·lèrgia a la gonadotrofina||| al·lèrgia a la GTH"
	al·lèrgia a la goserelina	ca	01012021					al·lèrgia a la goserelina	
	al·lèrgia a la griseofulvina ||| al·lèrgia al factor Curling	ca	01012021					al·lèrgia a la griseofulvina 	al·lèrgia al factor Curling
	al·lèrgia a la grosella ||| al·lèrgia a la riba||| al·lèrgia al fruit del riber (Ribes)	ca	01012021					al·lèrgia a la grosella 	al·lèrgia a la riba||| al·lèrgia al fruit del riber (Ribes)
	al·lèrgia a la grosella negra||| al·lèrgia al fruit del riber negre (Ribes nigrum)	ca	01012021					al·lèrgia a la grosella negra	al·lèrgia al fruit del riber negre (Ribes nigrum)
	al·lèrgia a la grosella vermella||| al·lèrgia al fruit del riber vermell (Ribes rubrum)	ca	01012021					al·lèrgia a la grosella vermella	al·lèrgia al fruit del riber vermell (Ribes rubrum)
	al·lèrgia a la guanetidina	ca	01012021					al·lèrgia a la guanetidina	
	al·lèrgia a la guixa ||| al·lèrgia a la caireta||| al·lèrgia a la llavor de la guixa (Lathyrus sativus) ||| al·lèrgia a la llavor de la guixera (Lathyrus sativus)||| al·lèrgia a la llavor del pedrerol (Lathyrus sativus)	ca	01012021					al·lèrgia a la guixa 	al·lèrgia a la caireta||| al·lèrgia a la llavor de la guixa (Lathyrus sativus) ||| al·lèrgia a la llavor de la guixera (Lathyrus sativus)||| al·lèrgia a la llavor del pedrerol (Lathyrus sativus)
	al·lèrgia a la hialuronidasa	ca	01012021					al·lèrgia a la hialuronidasa	
	al·lèrgia a la hidralazina	ca	01012021					al·lèrgia a la hidralazina	
	al·lèrgia a la hidroclorotiazida	ca	01012021					al·lèrgia a la hidroclorotiazida	
	al·lèrgia a la hidrocortisona ||| al·lèrgia al cortisol	ca	01012021					al·lèrgia a la hidrocortisona 	al·lèrgia al cortisol
	al·lèrgia a la hidrocortisona per via tòpica	ca	01012021					al·lèrgia a la hidrocortisona per via tòpica	
	al·lèrgia a la hidroflumetiazida	ca	01012021					al·lèrgia a la hidroflumetiazida	
	al·lèrgia a la hidroxicarbamida ||| al·lèrgia a la hidroxiurea	ca	01012021					al·lèrgia a la hidroxicarbamida 	al·lèrgia a la hidroxiurea
	al·lèrgia a la hidroxicloroquina	ca	01012021					al·lèrgia a la hidroxicloroquina	
	al·lèrgia a la hidroxietilcel·lulosa	ca	01012021					al·lèrgia a la hidroxietilcel·lulosa	
	al·lèrgia a la hidroxiprogesterona	ca	01012021					al·lèrgia a la hidroxiprogesterona	
	al·lèrgia a la hidroxizina	ca	01012021					al·lèrgia a la hidroxizina	
	al·lèrgia a la hidroxocobalamina ||| al·lèrgia a la vitamina B12b	ca	01012021					al·lèrgia a la hidroxocobalamina 	al·lèrgia a la vitamina B12b
	al·lèrgia a la hipromel·losa	ca	01012021					al·lèrgia a la hipromel·losa	
	al·lèrgia a la idarubicina	ca	01012021					al·lèrgia a la idarubicina	
	al·lèrgia a la idoxuridina	ca	01012021					al·lèrgia a la idoxuridina	
	al·lèrgia a la idoxuridina en sulfòxid de dimetil ||| al·lèrgia a la idoxuridina en dimetilsulfòxid ||| al·lèrgia a la idoxuridina en DMSO	ca	01012021					al·lèrgia a la idoxuridina en sulfòxid de dimetil 	al·lèrgia a la idoxuridina en dimetilsulfòxid ||| al·lèrgia a la idoxuridina en DMSO
	al·lèrgia a la ifosfamida	ca	01012021					al·lèrgia a la ifosfamida	
	al·lèrgia a la imipramina	ca	01012021					al·lèrgia a la imipramina	
	al·lèrgia a la immunoglobulina anti-hepatitis B ||| al·lèrgia a la immunoglobulina contra l'hepatitis B	ca	01012021					al·lèrgia a la immunoglobulina anti-hepatitis B 	al·lèrgia a la immunoglobulina contra l'hepatitis B
	al·lèrgia a la immunoglobulina anti-herpes zòster ||| al·lèrgia a la immunoglobulina contra l'herpes zòster	ca	01012021					al·lèrgia a la immunoglobulina anti-herpes zòster 	al·lèrgia a la immunoglobulina contra l'herpes zòster
	al·lèrgia a la immunoglobulina antitetànica ||| al·lèrgia a la immunoglobulina contra el tètanus	ca	01012021					al·lèrgia a la immunoglobulina antitetànica 	al·lèrgia a la immunoglobulina contra el tètanus
	al·lèrgia a la immunoglobulina humana	ca	01012021					al·lèrgia a la immunoglobulina humana	
	al·lèrgia a la immunoglobulina per via intramuscular	ca	01012021					al·lèrgia a la immunoglobulina per via intramuscular	
	al·lèrgia a la immunoglobulina per via intravenosa	ca	01012021					al·lèrgia a la immunoglobulina per via intravenosa	
	al·lèrgia a la immunoglobulina Rh0 (D)	ca	01012021					al·lèrgia a la immunoglobulina Rh0 (D)	
	al·lèrgia a la indapamida	ca	01012021					al·lèrgia a la indapamida	
	al·lèrgia a la indometacina	ca	01012021					al·lèrgia a la indometacina	
	al·lèrgia a la indoramina	ca	01012021					al·lèrgia a la indoramina	
	al·lèrgia a la infusió de múltiples electròlits ||| al·lèrgia a la infusió multielectrolítica ||| al·lèrgia a la injecció de múltiples electròlits	ca	01012021					al·lèrgia a la infusió de múltiples electròlits 	al·lèrgia a la infusió multielectrolítica ||| al·lèrgia a la injecció de múltiples electròlits
	al·lèrgia a la inosina pranobex	ca	01012021					al·lèrgia a la inosina pranobex	
	al·lèrgia a la insulina	ca	01012021					al·lèrgia a la insulina	
